isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
BTV/2014/12/POL			KY075925									Bos taurus	Poland	2014	OCT		field	Warmia Masuria						
BTV/2014/13/POL			KY075926									Bos taurus	Poland	2014	OCT		field	Warmia Masuria						
BTV/2014/14/POL			KY075921									Bos taurus	Poland	2014	OCT		field	Warmia Masuria						
BTV/2014/8/POL			KY075918									Bos taurus	Poland	2014	JAN		field	Podlasie						
BTV/2014/9/POL			KY075922									Bos taurus	Poland	2014	JAN		field	Podlasie						
BTV/2019/13	UP			KM365234								Ovis aries	Israel	2013	NOV		field		blood					
BTV/2089/2/2010	UP		JF423936							JQ970451		Ovis aries	Israel	2010	AYG		field			E1-3BHK?V?	Mammalian			
BTV/2120/2010	UP		JF423937									Bos taurus	Israel	2010	SEP		field							
BTV/2646/3/2010	UP		JF423938							JQ970453		Ovis aries	Israel	2010	SEP		field			E1-3BHK?V?	Mammalian			
BTV/2662/1/09	UP	KF584221										Bos taurus	Israel	2009	JUL	22	field		blood					
BTV/Bov/BC/NS-3481/2004	UP		DQ848152									Bos taurus	Canada	2004			field							
BTV/ISR-1894/12	UP			KM365235		KP342327			KP342328			Ovis aries	Israel	2012	OCT		field							
BTV01IND2010-KRM07		KP339134	KP339135	KP339136	KP339137	KP339138	KP339139	KP339140	KP339141	KP339142	KP339143	Ovis aries	India	2010	SEP		field	Karimnagar, Telangana				Yes		
BTV01IND2010-VC12		KP339144	KP339145	KP339146	KP339147	KP339148	KP339149	KP339150	KP339151	KP339152	KP339153	Ovis aries	India	2010	SEP		field	Nellore, Andhra Pradesh				Yes		
BTV02IND1993		KP339154	KP339155	KP339156	KP339157	KP339158	KP339159	KP339160	KP339161	KP339162	KP339163	Ovis aries	India	1993			field	Chittoor, Andhra Pradesh				Yes		
BTV02IND2010-KRM08		KP339164	KP339165	KP339166	KP339167	KP339168	KP339169	KP339170	KP339171	KP339172	KP339173	Ovis aries	India	2010	SEP		field	Karimnagar, Telangana				Yes		
BTV09IND2003-M10		KP339174	KP339175	KP339176	KP339177	KP339178	KP339179	KP339180	KP339181	KP339182	KP339183	Ovis aries	India	2003	AUG		field	Mahaboobnagar, Telangana				Yes		
BTV09IND2003-M11		KP339184	KP339185	KP339186	KP339187	KP339188	KP339189	KP339190	KP339191	KP339192	KP339193	Ovis aries	India	2003	AUG		field	Mahaboobnagar, Telangana				Yes		
BTV1 SAD2012	23838283					KC896850					KC896852	Ovis aries	Italy	2012			field	Sardinia	blood	CPT-Tert2	Mammalian			
BTV1 SAL1990/502270 	29120297	KY091928	KY092170	KY092117	KY092090	KY092089	KY092036	KY092009	KY091982	KY091957	KY091901		El Salvador	1990			field		blood	E1BHK4	Mammalian	No		
btv1/07-01	21074232		FJ437557					FJ437558	FJ437559	FJ437560	FJ437561	Ovis aries	France	2007	NOV		field		blood					
BTV1/11.01 (4074)	UP		JQ436736									Bos taurus	French Guiana	2011	JUL		field		blood	E1BHK1	Mammalian			
BTV1/PT/29058/07	UP		EU498674					EU498675			EU498676	Ovis aries	Portugal	2007			field	Barrancos	blood					
BTV10 CSTRCA1992/502344	29120297	KY091949	KY092150	KY092138	KY092111	KY092082	KY092060	KY092030	KY092003	KY091976	KY091922		Costa Rica	1992			field			E1CPAE?BHK?	Mammalian			
BTV10 GUA1991/502350	29120297	KY091950	KY092151	KY092139	KY092112	KY092083	KY092061	KY092031	KY092004	KY091977	KY091923		Guatemala	1991			field			E1CPAE?BHK?	Mammalian			
BTV10/06.1 (205)	UP		HQ222821									Bos taurus	Martinique	2006			field		blood					
BTV10/11.02 (4060)	UP		JQ436735									Bos taurus	French Guiana	2011	JUL		field		blood	E1BHK1	Mammalian			
BTV10IND2003K3		KP339244	KP339245	KP339246	KP339247	KP339248	KP339249	KP339250	KP339251	KP339252	KP339253	Ovis aries	India	2003	AUG		field	Khammam-Andhra Pradesh	blood			Yes		
BTV11/10.01 (9694)	UP		JN003580									Bos taurus	Martinique 	2010	DEC		field		blood					
BTV12/11.01(4136)	25301282		KC633278									Capra aegagrus hircus	French Guiana	2011	AUG		field		blood	KC?BHK?	Culicoides-Mammalian			
BTV12/2078/11_DEC	UP	KF017510										Bos taurus	Israel	2011	DEC	16	field		blood					
BTV12/2078/11_NOV	UP									JQ970455		Bos taurus	Israel	2011	NOV		field		blood	E1-3BHK?V?	Mammalian			
BTV12/2078/12	UP			KM365255								Bos taurus	Israel	2011	NOV		field		blood					
BTV12/2688/10	UP			KM365254								Bos taurus	Israel	2010	OCT		field		blood					
BTV12/2688/10	UP	KF017511										Bos taurus	Israel	2010	OCT	5	field		blood					
BTV12/2993/2/10	UP			KM365253								Bos taurus	Israel	2010	NOV		field		blood					
BTV12/2993/2/10	UP	KF017512										Bos taurus	Israel	2010	NOV	10	field		blood					
BTV12/ISR-2078/11			KT946759				KT946756					Bos taurus	Israel	2011	NOV	16	field		blood					
BTV12/ISR-2688/10	UP		KT946760				KT946757			JQ970456		Bos taurus	Israel	2010	OCT	5	field		blood	E1-3BHK?V?	Mammalian			
BTV12/ISR-2993/10	UP		KT946761				KT946758			JQ970457		Bos taurus	Israel	2010	NOV	10	field		blood	E1-3BHK?V?	Mammalian			
BTV12/PT/2003	20855174, 19900768	GU390658	GU390659	GU390660	GU390661	GU390664	GU784864	GU390663	GU390665	GU390662	EF174159	Bos taurus	Taiwan	2003	MAY		field	Pingtung	blood	E?BHK2	Mammalian			
BTV13/09.01 (2900)	UP		JN003582									Ovis aries	Martinique 	2009	OCT		field							
BTV13/10.01 (9689)	UP		JQ436729									Bos taurus	Martinique	2010	DEC		field		blood	E1BSR1	Mammalian			
BTV13/11.01 (3937)	UP		JQ436734									Bos taurus	French Guiana	2011	JUL		field		blood	E1BHK1	Mammalian			
BTV14 GUA1990/502230	29120297	KY091951	KY092147	KY092140	KY092113	KY092084	KY092057	KY092032	KY092005	KY091978	KY091924		Guatemala	1990			field			E1CPAE?BHK?	Mammalian			
BTV14 TOBG1989/502091	29120297	KY091952	KY092148	KY092141	KY092114	KY092085	KY092058	KY092033	KY092006	KY091979	KY091925		Trinidad and Tobago	1989			field	Tobago		E1CPAE?BHK?	Mammalian			
BTV15/2302/06	UP			KM365252								Ovis aries	Israel	2006	NOV		field		spleen					
BTV15/2302/06	UP	KF017513								JQ970458		Ovis aries	Israel	2006	NOV	16	field		spleen	E1-3BHK?V?	Mammalian			
BTV15/2714/10	UP			KM365251								Bos taurus	Israel	2010	OCT		field		blood					
BTV15/2714/10	UP	KF017514								JQ970459		Bos taurus	Israel	2010	OCT	10	field		blood	E1-3BHK?V?	Mammalian			
BTV15/3138/4/10	UP	KF017515										Bos taurus	Israel	2010	NOV	30	field		blood	E1-3BHK?V?	Mammalian			
BTV16/2017/11	UP	KF017516								JQ970460		Bos taurus	Israel	2011	NOV	2	field		blood	E1-3BHK?V?	Mammalian			
BTV16/2019/1/11	UP	KF017517										Bos taurus	Israel	2011	NOV	2	field		blood					
BTV16/2228/08	UP	KF017518								JQ970462		Capra aegagrus hircus	Israel	2008	OCT	23	field		spleen	E1-3BHK?V?	Mammalian			
BTV16/2404/08	UP	KF017519								JQ970463		Bos taurus	Israel	2008	NOV	19	field		blood	E1-3BHK?V?	Mammalian			
BTV16/ISR-1739/6/14	UP	KP318795	KP342322	KP342323								Ovis aries	Israel	2014	AUG		field							
BTV16/ISR-1862/2/14	UP		KP306774									Bos taurus	Israel	2014	SEP		field							
BTV16/ISR-1898/13	UP		KP318797									Ovis aries	Israel	2013	SEP		field							
BTV16/ISR-1906/18/13	UP		KP306775									Bos taurus	Israel	2013	OCT		field							
BTV16/ISR-1911/1/13	UP		KP306776									Bos taurus	Israel	2013	OCT		field							
BTV16/ISR-1916/2/13	UP		KP306777									Ovis aries	Israel	2013	OCT		field							
BTV16/ISR-1974/4/12	UP	KF584210	KP306778	KM365250		KP342324			KP342325		KF584209	Bos taurus	Israel	2012	OCT	29	field		blood					
BTV16/ISR-2017/11	UP		KP306779	KM365249								Bos taurus	Israel	2011	NOV		field		blood					
BTV16/ISR-2019/1/13	UP								KP342329			Ovis aries	Israel	2013	NOV		field							
BTV16/ISR-2019/11	UP		KP318798									Ovis aries	Israel	2011	NOV		field							
BTV16/ISR-2057/13	UP		KP306780	KM365248								Ovis aries	Israel	2013	NOV		field							
BTV16/ISR-2101/15			KY513456									Bos taurus	Israel	2015	NOV	5	field		blood					
BTV16/ISR-2103/5/13	UP		KP306781	KM365247								Bos taurus	Israel	2013	DEC		field		blood					
BTV16/ISR-2136/4/15			KY513457									Ovis aries	Israel	2015	NOV	15	field		blood					
BTV16/ISR-2228/08	UP		KP306782	KM365246								Capra aegagrus hircus	Israel	2008	OCT		field		spleen					
BTV16/ISR-2243/14_NOV	UP		KP306783									Ovis aries	Palestinian Territory	2014	NOV		field	Jenin-West Bank						
BTV16/ISR-2243/14_OCT	UP		KP318799									Ovis aries	Israel	2014	OCT		field							
BTV16/ISR-2296/14	UP		KP318800									Bos taurus	Israel	2014	OCT		field							
BTV16/ISR-2296/14	UP		KP306784									Bos taurus	Israel	2014	OCT		field							
BTV16/ISR-2404/08	UP		KP306785	KM365245								Bos taurus	Israel	2008	NOV		field		blood					
BTV16/ISR-7774/03	UP		KP306786	KM365268								Ovis aries	Israel	2003	SEP		field		spleen					
BTV16/Israel/2019/11	UP									JQ970461		Bos taurus	Israel	2011	NOV		field			E1-3BHK?V?	Mammalian			
BTV16IND2010-AP04		KP339194	KP339195	KP339196	KP339197	KP339198	KP339199	KP339200	KP339201	KP339202	KP339203	Ovis aries	India	2010	SEP		field	Mahaboobnagar, Telangana				Yes		
BTV16IND2010-AP06		KP339204	KP339205	KP339206	KP339207	KP339208	KP339209	KP339210	KP339211	KP339212	KP339213	Ovis aries	India	2010	SEP		field	Mahaboobnagar, Telangana				Yes		
BTV16IND2010-VC07		KP339224	KP339225	KP339226	KP339227	KP339228	KP339229	KP339230	KP339231	KP339232	KP339233	Ovis aries	India	2010	SEP		field	Nellore, Andhra Pradesh				Yes		
BTV16IND2011-NR82		KP339214	KP339215	KP339216	KP339217	KP339218	KP339219	KP339220	KP339221	KP339222	KP339223	Ovis aries	India	2011	SEP		field	Adilabad, Andhra Pradesh				Yes		
BTV17/06.1 (212)	UP		HQ222822									Bos taurus	Martinique	2006			field		blood					
BTV17/10.01	UP		HQ222825									Bos taurus	Guadeloupe	2010	MAY		field		blood					
BTV17/11.01 (3543)	UP		JQ436733									Bos taurus	French Guiana	2011	JUL		field		blood	E1BHK1	Mammalian			
BTV17L2-283	17852347		AY636074																					
BTV17L2-298	17852347		AY636075																					
BTV17L2-299	17852347		AY636078																					
BTV17L2-300	17852347		AY636077																					
BTV18 GUA1990/502229	29120297	KY091953	KY092152	KY092142	KY092115	KY092087	KY092059	KY092034	KY092007	KY091980	KY091926		Guatemala	1990			field			E1CPAE?BHK?	Mammalian			
BTV18/06.1	UP		HQ222818									Bos taurus	Martinique	2006			field		blood					
BTV18B	19744235										EU131024		India				field	Bangalore-Karnataka		BHK14	Mammalian			
BTV18M	19744235										EU131025		India				field	Chennai-Tamil Nadu		BHK11	Mammalian			
BTV18S	19744235										EU131026		India				field	Srinagar-Jammu and Kasmir		BHK8	Mammalian			
BTV1A	19744235										EU131023		India				field	Avikanagar-Rajasthan		BHK5	Mammalian			
BTV1SA	2169609							X53740					South Africa											
BTV1SA-ABADRL	11682128									AF403419														
BTV2 ATCC MD	10475085										AF135230		USA							?BHK?	Mammalian			
BTV2 OnaA US	10867193							AF188674					USA				field	Ona-Florida		E1BHK2L929/7BHK5	Mammalian			
BTV2 OnaB US	10867193							AF188660					USA				field	Ona-Florida		E1BHK2L929/7BHK2	Mammalian			
BTV2 PAN1990/185	29120297	KY091929	KY092149	KY092118	KY092091	KY092066	KY092037	KY092010	KY091983	KY091958	KY091902		Panama	1990			field	Panama		E1CPAE?BHK?	Mammalian			
BTV2_OnaA_S9	11682128									AF403420														
BTV2_SA_S9	11682128									AF403422														
BTV2/06.1	UP		HQ222820									Bos taurus	Martinique	2006			field		blood					
BTV2/09.01	UP		HQ222824									Bos taurus	Martinique	2009			field		blood					
BTV2/11.01(3918)	25301282		KC633279									Bos taurus	French Guiana	2011	JUL		field		blood	KC?BHK?	Culicoides-Mammalian			
BTV2/1431/1/11	UP	KF017481										Bos taurus	Israel	2011	MAY	26	field		blood					
BTV2/1745/4/11	UP	KF017482										Bos taurus	Israel	2011	AUG	8	field		blood					
BTV2/1822/11	UP	KF017483								JQ970443		Bos taurus	Israel	2011	AUG	30	field		blood	E1-3BHK?V?	Mammalian			
BTV2/1841/3/12_SEP_1	UP										KF584169	Bos taurus	Israel	2012	SEP	1	field		blood					
BTV2/1841/3/12_SEP_20	UP	KF017485										Bos taurus	Israel	2012	SEP	20	field		blood					
BTV2/1843/11	UP	KF017484										Bos taurus	Israel	2011	AUG	30	field		blood					
BTV2/1848/2/12	UP	KF017486										Ovis aries	Israel	2012			field		blood					
BTV2/1850/2/12	UP	KF017487										Ovis aries	Israel	2012			field		blood					
BTV2/1855/1/12	UP			KM365264								Ovis aries	Israel	2012	SEP		field		blood					
BTV2/1855/1/12	UP	KF017488										Ovis aries	Israel	2012			field		blood					
BTV2/1855/3/12	UP	KF584170	KF584171									Ovis aries	Israel	2012	SEP	5	field		blood					
BTV2/1858/13	UP			KM365263								Bos taurus	Israel	2013	SEP		field		blood					
BTV2/1886/2/12	UP	KF017489										Ovis aries	Israel	2012	OCT	9	field		blood					
BTV2/1947/10/12	UP	KF017490										Bos taurus	Israel	2012	OCT	20	field		blood					
BTV2/1947/16/12	UP	KF584172										Bos taurus	Israel	2012	OCT	15	field		blood					
BTV2/1979/1/12	UP		KF584173									Bos taurus	Israel	2012	OCT	20	field		blood					
BTV2/1979/3/12	UP		KF584174									Bos taurus	Israel	2012	OCT	20	field		blood					
BTV2/1981/12	UP	KF584176									KF584175	Bos taurus	Israel	2012	OCT	20	field		blood					
BTV2/1986/4/12	UP		KF584177									Bos taurus	Israel	2012	OCT	25	field		blood					
BTV2/2051/12	UP			KM365262								Ovis aries	Israel	2013	NOV		field		blood					
BTV2/2054/11	UP	KF017491										Ovis aries	Israel	2011	NOV	10	field		spleen					
BTV2/2069/5/12	UP	KF584179									KF584178	Ovis aries	Israel	2012	NOV	5	field		blood					
BTV2/2082/5/12	UP	KF584181									KF584180	Capra aegagrus hircus	Israel	2012	NOV	10	field		blood					
BTV2/2091/2/12	UP	KF584183									KF584182		Israel	2012	NOV	20	field		blood					
BTV2/2115/4/12	UP	KF584185	KF584186								KF584184	Bos taurus	Israel	2012	NOV	25	field		blood					
BTV2/2153/12	UP		KF584188								KF584187	Bos taurus	Israel	2012	DEC	5	field		blood					
BTV2/2177/12	UP	KF017479										Ovis aries	Israel	2012	DEC	17	field		spleen					
BTV2/26629/PT05	17521832		EF434177					EF434175			EF434179	Bos taurus	Portugal	2005			field	Grandola	blood	E2V?BHK?	Mammalian			
BTV2/3121/1/10	UP	KF017492										Bos taurus	Israel	2010	NOV	28	field		blood					
BTV2/3143/2/10_blood_NOV	UP	KF017493										Taurotragus oryx	Israel	2010	NOV	30	field		blood					
BTV2/3143/2/10_spleen_DEC	UP			KM365261								Taurotragus oryx	Israel	2010	DEC		field		spleen					
BTV2/870/10	UP	KF017480										Bos taurus	Israel	2011	JAN	20	field		blood					
BTV2/ISR-1894/12		KY513440	KY513441			KY513438	KY513442	KY513443			KY513439	Ovis aries	Israel	2012	OCT	10	field		spleen			yes		
BTV2/Israel/870/11	UP									JQ970442		Bos taurus	Israel	2011	JAN		field			E1-3BHK?V?	Mammalian			
BTV22 TRIN1989/502165	29120297	KY091954	KY092144	KY092143	KY092116	KY092088	KY092062	KY092035	KY092008	KY091981	KY091927		Trinidad and Tobago	1989			field	Trinidad		E1CPAE?BHK?	Mammalian			
BTV22/06.1	UP		HQ222819									Bos taurus	Martinique	2006			field		blood					
BTV23D	19744235										EU131022		India				field	Dehradun		BHK55	Mammalian			
BTV23R	19744235										EU131027		India				field	Rahuri-Maharashtra		BHK6	Mammalian			
BTV24-VP2-2214-2-10	UP	JN546202	JN546197									Ovis aries	Israel	2010	SEP		field							
BTV24-VP2-3027-1-10v	UP		JN546198									Ovis aries	Israel	2010	NOV		field							
BTV24-VP2-329b-3027-4-10b	UP		JN546199									Ovis aries	Israel	2010	NOV		field							
BTV24-VP2-332b-3027-6-10b	UP		JN546200									Ovis aries	Israel	2010	NOV		field							
BTV24/06.1 (127)	UP		HQ222823									Bos taurus	Martinique	2006			field		blood					
BTV24/09.01	UP		JN003581									Ovis aries	Martinique 	2009	OCT		field							
BTV24/11.01(3864)	25301282		KC633277									Bos taurus	French Guiana	2011	JUL		field		blood	KC?BHK?	Culicoides-Mammalian			
BTV24/1894/1/09	UP	KF584211	KF584212									Ovis aries	Israel	2009	MAR	15	field		blood					
BTV24/1925/2/09	UP	KF584213	KF584214									Ovis aries	Israel	2009	MAR	24	field		blood					
BTV24/1925/4/09	UP	KF584215	KF584216									Ovis aries	Israel	2009	MAR	24	field		blood					
BTV24/2144/09	UP	KF584217	KF584218									Bos taurus	Israel	2009	MAY	20	field		blood					
BTV24/2144/1349/09	UP			KM365244								Bos taurus	Israel	2009	MAY		field		blood					
BTV24/2148/09	UP	KF584219	KF584220									Bos taurus	Israel	2009	MAY	21	field		blood					
BTV24/2214/1/10	27723045		JN162682	KM365243								Ovis aries	Israel	2010	SEP		field	Upper‑Middle Jordan Valley (South Israel)	blood					
BTV24/2214/1/10		JX889174			JX889175	JX889171	JX889176		JX889172	JQ970464	JX889173	Ovis aries	Israel	2010	SEP		field			E1-3BHK?V?	Mammalian			
BTV24/2222/10	UP	KF017520										Ovis aries	Israel				field		blood					
BTV24/2305/08	27723045	 	JN162683	KM365242								Ovis aries	Israel	2008	NOV		field		blood					
BTV24/2305/08		JX889180			JX889181	JX889177	JX889182		JX889178	JQ970465	JX889179	Ovis aries	Israel	2008	NOV		field			E1-3BHK?V?	Mammalian			
BTV24/2425/08	27723045		JN162684	KM365241								Ovis aries	Israel	2008	NOV		field		spleen					
BTV24/2425/08		JX889186			JX889187	JX889183	JX889188		JX889184	JQ970466	JX889185	Ovis aries	Israel	2008	NOV		field			E1-3BHK?V?	Mammalian			
BTV24/2452/08	UP	KF017521										Bos taurus	Israel	2008	NOV	27	field		spleen					
BTV24/2755/1/10	27723045		JN162685	KM365240								Ovis aries	Israel	2010	OCT		field		blood					
BTV24/2755/1/10		JX889192			JX889193	JX889189	JX889194		JX889190	JX889195	JX889191	Ovis aries	Israel	2010	OCT		field			E1-3BHK?V?	Mammalian			
BTV24/2944/1/10	27723045			KM365239								Ovis aries	Israel	2010	NOV		field		blood					
BTV24/2944/1/10		JX889218	JX889219									Ovis aries	Israel	2010	NOV		field							
BTV24/2944/1/10					JX889199	JX889196	JX889200		JX889197	JQ970467	JX889198	Ovis aries	Israel	2010	NOV		field			E1-3BHK?V?	Mammalian			
BTV24/3027/1/10	27723045			KM365238								Ovis aries	Israel	2010	NOV		field	Northern Israel	blood					
BTV24/3027/1/10					JX889204	JX889201	JX889205		JX889202		JX889203	Ovis aries	Israel	2010	NOV		field			E1-3BHK?V?	Mammalian			
BTV24/3027/6/10	27723045			KM365237								Ovis aries	Israel	2010	NOV		field	Northern Israel	blood					
BTV24/3027/6/10		JX889209			JX889210	JX889206	JX889211		JX889207	JQ970469	JX889208	Ovis aries	Israel	2010	NOV		field			E1-3BHK?V?	Mammalian			
BTV24/3258/1/10	27723045		JN162686	KM365236								Bos taurus	Israel	2010	DEC		field		blood					
BTV24/3258/1/10		JX889215			JX889216	JX889212	JX889217		JX889213	JQ970441	JX889214	Bos taurus	Israel	2010	DEC		field			E1-3BHK?V?	Mammalian			
BTV3 BAR1988/502034	29120297	KY091930	KY092153	KY092119	KY092092	KY092067	KY092040	KY092011	KY091984	KY091959	KY091903		Barbados	1988			field	Barbados		E1CPAE?BHK?	Mammalian			
BTV3 HON1990/502285	29120297	KY091931	KY092154	KY092120	KY092093	KY092068	KY092041	KY092012	KY091985	KY091960	KY091904		Honduras	1990			field	Honduras		E1CPAE?BHK?	Mammalian			
BTV3 JAM1988/502030	29120297	KY091932	KY092155	KY092121	KY092094	KY092063	KY092042	KY092013	KY091986	KY091961	KY091905		Jamaica	1988			field	Jamaica		E1CPAE?BHK?	Mammalian			
BTV3 JAM1988/502031	29120297	KY091933	KY092156	KY092122	KY092095	KY092069	KY092043	KY092014	KY091987	KY091962	KY091906		Jamaica	1988			field	Jamaica		E1CPAE?BHK?	Mammalian			
BTV3 PAN1989/502151	29120297	KY091934	KY092157	KY092123	KY092096	KY092086	KY092044	KY092015	KY091988	KY091963	KY091907		Panama	1989			field	Panama		E1CPAE?BHK?	Mammalian			
BTV3 RSA 600565	29120297	KY091935	KY092158	KY092124	KY092097	KY092064	KY092045	KY092016	KY091989	KY091964	KY091908		South Africa	1977						E1CPAE?BHK?	Mammalian			
BTV3 USA/FL 600545 	29120297	KY091946	KY092169	KY092135	KY092108	KY092065	KY092056	KY092027	KY092000	KY091973	KY091919		USA	1999			field	Florida		E1BHK?	Mammalian			
BTV3 USA1999/FL 22364-10	29120297	KY091936	KY092159	KY092125	KY092098	KY092070	KY092046	KY092017	KY091990	KY091965	KY091909	Ovis aries	USA	1999	DEC		field	Florida, Highlands	blood	E1BHK1E1BHK4	Mammalian	Yes		
BTV3 USA2001/FL 138555-30	29120297	KY091937	KY092160	KY092126	KY092099	KY092071	KY092047	KY092018	KY091991	KY091966	KY091910	Odocoileus virginianus	USA	2001	NOV	6	field	Florida, Martin	blood	E1BHK3E1BHK?	Mammalian			
BTV3 USA2002/FL 202795	29120297	KY091938	KY092161	KY092127	KY092100	KY092072	KY092048	KY092019	KY091992	KY091967	KY091911	Odocoileus virginianus	USA	2002	AUG	23	field	Florida, Alachua	blood	E1BHK1E1BHK4	Mammalian			
BTV3 USA2002/FL 220082-16	29120297	KY091939	KY092162	KY092128	KY092101	KY092073	KY092049	KY092020	KY091993	KY091968	KY091912	Bos taurus	USA	2002	OCT	30	field	Florida,Okeechobee	blood	E1BHK1E1BHK4	Mammalian			
BTV3 USA2003/FL 280559-9	29120297	KY091940	KY092163	KY092129	KY092102	KY092074	KY092050	KY092021	KY091994	KY091955	KY091913	Bos taurus	USA	2003	OCT	21	field	Florida,Manatee	blood	E1BHK4	Mammalian			
BTV3 USA2006/MS 473906-7	29120297	KY091941	KY092164	KY092130	KY092103	KY092075	KY092051	KY092022	KY091995	KY091969	KY091914	Odocoileus virginianus	USA	2006	SEP		field	Mississippi, Yalobusha	blood	CPAE1BHK6	Mammalian			
BTV3 USA2008/AR 566195	29120297	KY091942	KY092165	KY092131	KY092104	KY092076	KY092052	KY092023	KY091996	KY091970	KY091915	Odocoileus virginianus	USA	2008			field	Arkansas,Chicot		E1CPAE?BHK?	Mammalian			
BTV3 USA2009/MS 025763-326	29120297	KY091943	KY092166	KY092132	KY092105	KY092077	KY092053	KY092024	KY091997	KY091971	KY091916	Odocoileus virginianus	USA	2009			field	Mississippi, Okitibbeha		E1CPAE?BHK?	Mammalian			
BTV3 USA2012/SD 035694	29120297	KY091944	KY092167	KY092133	KY092106	KY092078	KY092054	KY092025	KY091998	KY091972	KY091917	Odocoileus virginianus	USA	2012			field	South Dakota, Charles Mix		E1CPAE?BHK?	Mammalian			
BTV3 USA2013/FL N13-03980	29120297	KY091945	KY092168	KY092134	KY092107	KY092079	KY092055	KY092026	KY091999	KY091956	KY091918	Odocoileus virginianus	USA	2013			field	Florida		E1CPAE?BHK?	Mammalian			
BTV3/10.02 (9696)	UP		JQ436730									Bos taurus	Martinique	2010	DEC		field		blood	E1BSR1	Mammalian			
BTV4 SAD2012	23838283					KC896851					KC896853	Ovis aries	Italy	2012			field	Sardinia	blood	CPT-Tert2	Mammalian			
BTV4-HUN2014	25847695	KP268814	KP268815	KP268816	KP268817	KP268818	KP268819	KP268820	KP268821	KP268822	KP268823	Bos taurus	Hungary	2014			field			KC?	Culicoides sp.			
BTV4-ROM1	UP					KT429214						Bos taurus	Romania	2015			field							
BTV4-RSA(vacc)	21865388	JN255942	JN255943	JN255944	JN255945	JN255946	JN255947	JN255948	JN255949	JN255950	JN255951	Ovis aries	South Africa	1900			vaccine	Cape Province		E50-70PP3BHK9BSR1	Mammalian			
BTV4-VP2-323b-3027-3-10v	UP		JN546196									Ovis aries	Israel	2010	NOV		field							
BTV4/1035/10	UP	KF017494								JQ970444		Bos taurus	Israel	2010	JAN	17	field		blood	E1-3BHK?V?	Mammalian			
BTV4/1047/10	UP			KM365266								Bos taurus	Israel	2010	JAN		field		blood					
BTV4/1047/10	UP	KF017495								JQ970445		Bos taurus	Israel	2010	JAN	17	field		blood	E1-3BHK?V?	Mammalian			
BTV4/1855/2/12	UP										KF584189	Ovis aries	Israel	2012	SEP	5	field		blood					
BTV4/1855/2/12	UP	KF017496										Ovis aries	Israel	2012			field		blood					
BTV4/1872/4/12	UP	KF017497										Bos taurus	Israel	2012	OCT	7	field		blood					
BTV4/1884/3/12	UP	KF017498										Ovis aries	Israel	2012	OCT	9	field		blood					
BTV4/1899/13	UP			KM365267								Ovis aries	Israel	2013	SEP		field		blood					
BTV4/1919/12	UP		KF584191									Bos taurus	Israel	2012	OCT	10	field		blood					
BTV4/1921/2/12	UP		KF584192									Bos taurus	Israel	2012	OCT	10	field		blood					
BTV4/1925/3/12	UP		KF584193									Ovis aries	Israel	2012	OCT	15	field		blood					
BTV4/1925/4/12	UP		KF584194									Ovis aries	Israel	2012	OCT	15	field		blood					
BTV4/1927/2/11	UP	KF017478										Ovis aries	Israel	2011	SEP	21	field		blood					
BTV4/2044/11	UP	KF017499										Ovis aries	Israel	2011	NOV	9	field		spleen					
BTV4/2071-11	UP		KF584195									Ovis aries	Israel	2011	NOV	20	field		blood					
BTV4/2074/11	UP		KF584196									Ovis aries	Israel	2011	NOV	20	field		blood					
BTV4/2087/12	UP		KF584197										Israel	2012	NOV	25	field		blood					
BTV4/2088/12	UP		KF584198										Israel	2012	NOV	25	field		blood					
BTV4/2091/1/12	UP	KF584200	KF584201								KF584199	Bos taurus	Israel	2012	NOV	25	field		blood					
BTV4/2180/1/12_DEC_15	UP		KF584202									Ovis aries	Israel	2012	DEC	15	field		blood					
BTV4/2180/1/12_DEC_17	UP	KF017500										Ovis aries	Israel	2012	DEC	17	field		blood					
BTV4/2180/2/12	UP		KF584203									Ovis aries	Israel	2012	DEC	15	field		blood					
BTV4/2196/10	UP	KF017501								JQ970446		Ovis aries	Israel	2010	SEP		field		spleen	E1-3BHK?V?	Mammalian			
BTV4/22045/PT04	17521832		EF434176					EF434178			EF434180	Ovis aries	Portugal	2004			field	Alandroal	spleen	E2V?BHK?	Mammalian			
BTV4/2662/1/09	UP			KM365260								Bos taurus	Israel	2009	SEP		field		blood					
BTV4/2944/2/10	UP	KF017502								JQ970447		Ovis aries	Israel	2010	NOV	7	field		blood	E1-3BHK?V?	Mammalian			
BTV4/3020/10	UP	KF017503										Bos taurus	Israel	2010	NOV	14	field		blood					
BTV4/3027/3/10_DEC_2012	UP	KF584204										Ovis aries	Israel	2012	DEC	25	field		blood					
BTV4/3027/3/10_NOV_2010	UP			KM365259						JQ970448		Ovis aries	Israel	2010	NOV		field		blood	E1-3BHK?V?	Mammalian			
BTV4/ISR-1282/2/14	UP	KP318787	KP318786			KP342319			KP342320			Ovis aries	Israel	2014	APR		field							
BTV4/ISR-1736/14	UP	KP318788	KP342321									Ovis aries	Israel	2014	AUG		field							
