format	excluded	sequence_id	source_name	gb_gi_number	gb_primary_accession	gb_accession_version	gb_locus	gb_length	gb_lab_construct	gb_organism	gb_isolate	gb_taxonomy	gb_host	gb_country	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_create_date	gb_update_date	gb_serotype	gb_topotype	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells
GENBANK_XML	no	AF397281	ncbi-curated	15149351	AF397281	AF397281.1	AF397281	732	NULL	Bluetongue virus	1032	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF397282	ncbi-curated	15149353	AF397282	AF397282.1	AF397282	732	NULL	Bluetongue virus	2442	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF397283	ncbi-curated	15149355	AF397283	AF397283.1	AF397283	732	NULL	Bluetongue virus	595	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF397284	ncbi-curated	15149357	AF397284	AF397284.1	AF397284	732	NULL	Bluetongue virus	925	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF397285	ncbi-curated	15149359	AF397285	AF397285.1	AF397285	732	NULL	Bluetongue virus	926	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF397286	ncbi-curated	15149361	AF397286	AF397286.1	AF397286	732	NULL	Bluetongue virus	Pool B1	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397287	ncbi-curated	15149363	AF397287	AF397287.1	AF397287	732	NULL	Bluetongue virus	Pool B10	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397288	ncbi-curated	15149365	AF397288	AF397288.1	AF397288	732	NULL	Bluetongue virus	Pool B6	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397289	ncbi-curated	15149367	AF397289	AF397289.1	AF397289	732	NULL	Bluetongue virus	Pool B8	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397290	ncbi-curated	15149369	AF397290	AF397290.1	AF397290	732	NULL	Bluetongue virus	Pool B7	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397291	ncbi-curated	15149371	AF397291	AF397291.1	AF397291	732	NULL	Bluetongue virus	Pool C10	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397292	ncbi-curated	15149373	AF397292	AF397292.1	AF397292	732	NULL	Bluetongue virus	Pool C11	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397293	ncbi-curated	15149375	AF397293	AF397293.1	AF397293	732	NULL	Bluetongue virus	Pool D12	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397294	ncbi-curated	15149377	AF397294	AF397294.1	AF397294	732	NULL	Bluetongue virus	Pool H4	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sonorensis	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	Culicoides sonorensis	NULL	NULL
GENBANK_XML	no	AF397295	ncbi-curated	15149379	AF397295	AF397295.1	AF397295	732	NULL	Bluetongue virus	319	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	USA	NULL	NULL	NULL	12/08/2001	12/08/2001	NULL	NULL	field	Southern  California	NULL	NULL	NULL
GENBANK_XML	no	AF403418	ncbi-curated	15321639	AF403418	AF403418.1	AF403418	1049	NULL	Bluetongue virus	62-45S	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	17	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF403419	ncbi-curated	15320539	AF403419	AF403419.1	AF403419	1049	NULL	Bluetongue virus	BTV1SA-ABADRL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	1	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF403420	ncbi-curated	15321641	AF403420	AF403420.1	AF403420	1049	NULL	Bluetongue virus	BTV2_OnaA_S9	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	2	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF403421	ncbi-curated	15320541	AF403421	AF403421.1	AF403421	1049	NULL	Bluetongue virus	OnaB	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	2	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF403422	ncbi-curated	15321643	AF403422	AF403422.1	AF403422	1049	NULL	Bluetongue virus	BTV2_SA_S9	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	2	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF403423	ncbi-curated	15320543	AF403423	AF403423.1	AF403423	1049	NULL	Bluetongue virus	BTV4SA_S9	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	28/08/2001	04/03/2002	4	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF469114	ncbi-curated	28625632	AF469114	AF469114.1	AF469114	759	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Tunisia	NULL	NULL	NULL	01/03/2003	01/03/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF469115	ncbi-curated	28625634	AF469115	AF469115.1	AF469115	1048	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Tunisia	NULL	NULL	NULL	01/03/2003	01/03/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF481092	ncbi-curated	19423628	AF481092	AF481092.1	AF481092	709	NULL	Corsican bluetongue virus	Corsican bluetongue virus serotype 2 (2000)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	France	2000	NULL	NULL	14/03/2002	14/03/2002	2	NULL	field	Corsica	NULL	NULL	NULL
GENBANK_XML	no	AF481093	ncbi-curated	19423630	AF481093	AF481093.1	AF481093	712	NULL	Corsican bluetongue virus	Corsican bluetongue virus serotype 2 (2001)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	France	2001	NULL	NULL	14/03/2002	14/03/2002	2	NULL	field	Corsica	NULL	NULL	NULL
GENBANK_XML	no	AF481094	ncbi-curated	19423632	AF481094	AF481094.1	AF481094	709	NULL	Bluetongue virus 2	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	NULL	NULL	NULL	14/03/2002	14/03/2002	2	NULL	vaccine	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF481095	ncbi-curated	19423634	AF481095	AF481095.1	AF481095	1067	NULL	Bluetongue virus 2	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	NULL	NULL	NULL	14/03/2002	14/03/2002	2	NULL	vaccine	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF481096	ncbi-curated	19423636	AF481096	AF481096.1	AF481096	2889	NULL	Bluetongue virus 2	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	NULL	NULL	NULL	14/03/2002	14/03/2002	2	NULL	vaccine	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF494094	ncbi-curated	33321800	AF494094	AF494094.1	AF494094	2884	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Tunisia	NULL	NULL	NULL	15/11/2003	15/11/2003	NULL	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512905	ncbi-curated	21637314	AF512905	AF512905.1	AF512905	690	NULL	Bluetongue virus 4	G712/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	4	NULL	field	Gauteng	NULL	NULL	NULL
GENBANK_XML	no	AF512906	ncbi-curated	21637316	AF512906	AF512906.1	AF512906	690	NULL	Bluetongue virus 3	G717/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	3	NULL	field	Gauteng	NULL	NULL	NULL
GENBANK_XML	no	AF512907	ncbi-curated	21637318	AF512907	AF512907.1	AF512907	690	NULL	Bluetongue virus 4	P524/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	4	NULL	field	Gauteng	NULL	NULL	NULL
GENBANK_XML	no	AF512908	ncbi-curated	21637320	AF512908	AF512908.1	AF512908	690	NULL	Bluetongue virus 4	79043/vaccine	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1900	NULL	NULL	01/07/2002	28/11/2008	4	NULL	vaccine	Batoh-Western Cape	NULL	NULL	NULL
GENBANK_XML	no	AF512909	ncbi-curated	21637322	AF512909	AF512909.1	AF512909	690	NULL	Bluetongue virus 4	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1900	NULL	NULL	01/07/2002	28/11/2008	4	NULL	reference	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512910	ncbi-curated	21637324	AF512910	AF512910.1	AF512910	690	NULL	Bluetongue virus 1	5012/vaccine	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1958	NULL	NULL	01/07/2002	28/11/2008	1	NULL	vaccine	Vryheid-KwaZulu-Natal	NULL	NULL	NULL
GENBANK_XML	no	AF512911	ncbi-curated	21637326	AF512911	AF512911.1	AF512911	690	NULL	Bluetongue virus 1	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1958	NULL	NULL	01/07/2002	28/11/2008	1	NULL	reference	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512912	ncbi-curated	21637328	AF512912	AF512912.1	AF512912	690	NULL	Bluetongue virus 1	S1/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	India	1999	NULL	NULL	01/07/2002	28/11/2008	1	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512913	ncbi-curated	21637330	AF512913	AF512913.1	AF512913	690	NULL	Bluetongue virus 2	S2/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512914	ncbi-curated	21637332	AF512914	AF512914.1	AF512914	690	NULL	Bluetongue virus 18	B1/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	India	1999	NULL	NULL	01/07/2002	28/11/2008	18	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512915	ncbi-curated	21637334	AF512915	AF512915.1	AF512915	690	NULL	Bluetongue virus 18	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	01/07/2002	28/11/2008	18	NULL	reference	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512916	ncbi-curated	21637336	AF512916	AF512916.1	AF512916	690	NULL	Bluetongue virus 2	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1958	NULL	NULL	01/07/2002	28/11/2008	2	NULL	reference	Ermelo-Mpumalanga	NULL	NULL	NULL
GENBANK_XML	no	AF512917	ncbi-curated	21637338	AF512917	AF512917.1	AF512917	690	NULL	Bluetongue virus 3	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	1944	NULL	NULL	01/07/2002	28/11/2008	3	NULL	reference	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512918	ncbi-curated	21637340	AF512918	AF512918.1	AF512918	690	NULL	Bluetongue virus 3	8231/vaccine	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Cyprus	1944	NULL	NULL	01/07/2002	28/11/2008	3	NULL	vaccine	NULL	NULL	NULL	NULL
GENBANK_XML	no	AF512919	ncbi-curated	21637342	AF512919	AF512919.1	AF512919	690	NULL	Bluetongue virus 8	8438/vaccine	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1937	NULL	NULL	01/07/2002	28/11/2008	8	NULL	vaccine	Onderstepoort	NULL	NULL	NULL
GENBANK_XML	no	AF512920	ncbi-curated	21637344	AF512920	AF512920.1	AF512920	690	NULL	Bluetongue virus 2	Ramsen/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	2	NULL	field	Free State	NULL	NULL	NULL
GENBANK_XML	no	AF512921	ncbi-curated	21637346	AF512921	AF512921.1	AF512921	690	NULL	Bluetongue virus 11	G704/1999	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1999	NULL	NULL	01/07/2002	28/11/2008	11	NULL	field	Gauteng	NULL	NULL	NULL
GENBANK_XML	no	AF512922	ncbi-curated	21637348	AF512922	AF512922.1	AF512922	690	NULL	Bluetongue virus 11	4575/vaccine	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1944	NULL	NULL	01/07/2002	28/11/2008	11	NULL	vaccine	Beaufort West-Western Cape	NULL	NULL	NULL
GENBANK_XML	no	AF512923	ncbi-curated	21637350	AF512923	AF512923.1	AF512923	690	NULL	Bluetongue virus 11	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1944	NULL	NULL	01/07/2002	28/11/2008	11	NULL	reference	Nelspoort-Western Cape	NULL	NULL	NULL
GENBANK_XML	no	AF512924	ncbi-curated	21637352	AF512924	AF512924.1	AF512924	690	NULL	Bluetongue virus 8	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	1937	NULL	NULL	01/07/2002	28/11/2008	8	NULL	reference	Onderstepoort	NULL	NULL	NULL
GENBANK_XML	no	AF529044	ncbi-curated	22384902	AF529044	AF529044.1	AF529044	2731	NULL	Bluetongue virus 1	RIVS 46	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	21/08/2002	19/03/2004	1	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529045	ncbi-curated	22384905	AF529045	AF529045.1	AF529045	2731	NULL	Bluetongue virus 3	RIVS 53	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	21/08/2002	19/03/2004	3	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529046	ncbi-curated	22384908	AF529046	AF529046.1	AF529046	2731	NULL	Bluetongue virus 21	RIVS 60	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	21/08/2002	19/03/2004	21	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529047	ncbi-curated	22384911	AF529047	AF529047.1	AF529047	2731	NULL	Bluetongue virus 21	RIVS 63	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	21/08/2002	19/03/2004	21	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529048	ncbi-curated	22384914	AF529048	AF529048.1	AF529048	2731	NULL	Bluetongue virus 1	V4445	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1998	NULL	NULL	21/08/2002	21/08/2002	1	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529049	ncbi-curated	22297195	AF529049	AF529049.1	AF529049	741	NULL	Bluetongue virus 1	RIVS 46	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	19/08/2002	19/03/2004	1	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529050	ncbi-curated	22297197	AF529050	AF529050.1	AF529050	741	NULL	Bluetongue virus 3	RIVS 53	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	19/08/2002	19/03/2004	3	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529051	ncbi-curated	22297199	AF529051	AF529051.1	AF529051	741	NULL	Bluetongue virus 23	RIVS 39	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1991	NULL	NULL	19/08/2002	19/03/2004	23	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF529052	ncbi-curated	22297201	AF529052	AF529052.1	AF529052	741	NULL	Bluetongue virus 1	V3036	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Australia	1994	NULL	NULL	19/08/2002	19/08/2002	1	NULL	field	NULL	blood	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529053	ncbi-curated	22297203	AF529053	AF529053.1	AF529053	741	NULL	Bluetongue virus 21	V3209	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1994	NULL	NULL	19/08/2002	19/08/2002	21	NULL	field	NULL	blood	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529054	ncbi-curated	22297205	AF529054	AF529054.1	AF529054	741	NULL	Bluetongue virus 21	V3548	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1995	NULL	NULL	19/08/2002	19/08/2002	21	NULL	field	NULL	blood 	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529055	ncbi-curated	22297207	AF529055	AF529055.1	AF529055	741	NULL	Bluetongue virus 20	V3598	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1995	NULL	NULL	19/08/2002	19/08/2002	20	NULL	field	NULL	blood	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529056	ncbi-curated	22297209	AF529056	AF529056.1	AF529056	741	NULL	Bluetongue virus 20	V3692	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1995	NULL	NULL	19/08/2002	19/08/2002	20	NULL	field	NULL	blood 	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529057	ncbi-curated	22297211	AF529057	AF529057.1	AF529057	741	NULL	Bluetongue virus 1	V4014	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1996	NULL	NULL	19/08/2002	19/08/2002	1	NULL	field	NULL	blood 	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529058	ncbi-curated	22297213	AF529058	AF529058.1	AF529058	741	NULL	Bluetongue virus 21	Z462	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	1998	NULL	NULL	19/08/2002	19/08/2002	21	NULL	field	NULL	blood 	E?C6/36?BHK?	Mammalian
GENBANK_XML	no	AF529059	ncbi-curated	22297215	AF529059	AF529059.1	AF529059	782	NULL	Bluetongue virus 23	RIVS 60	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	West Java	1990	NULL	NULL	19/08/2002	19/03/2004	23	NULL	field	NULL	blood 	E1C6/36 1BHK?	Mammalian
GENBANK_XML	no	AF530066	ncbi-curated	22218291	AF530066	AF530066.1	AF530066	990	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	South Africa	NULL	NULL	NULL	14/08/2002	14/08/2002	2	NULL	vaccine	Onderstepoort	NULL	NULL	NULL
GENBANK_XML	no	AF530067	ncbi-curated	22218293	AF530067	AF530067.1	AF530067	2880	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	14/08/2002	14/08/2002	16	NULL	NULL	NULL	NULL	NULL	NULL
GENBANK_XML	yes	AH002329	ncbi-curated	1015600351	AH002329	AH002329.2	AH002329	371	NULL	Bluetongue virus	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	15/06/1989	06/04/2016	NULL	NULL					
GENBANK_XML	yes	AH015346	ncbi-curated	1015523713	AH015346	AH015346.2	AH015346	1482	NULL	Bluetongue virus	Dehradun	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	India	NULL	NULL	NULL	31/10/2005	05/04/2016	2	NULL					
GENBANK_XML	no	AJ277802	ncbi-curated	38422765	AJ277802	AJ277802.2	AJ277802	1154	NULL	Bluetongue virus 23	Dehradoon	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	India	NULL	NULL	NULL	04/05/2000	15/04/2005	23	NULL	NULL	Dehradoon	NULL	NULL	NULL
GENBANK_XML	no	AJ430057	ncbi-curated	28172023	AJ430057	AJ430057.1	AJ430057	701	NULL	Bluetongue virus 2	IT-2001(57532-1)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	faeces	NULL	NULL
GENBANK_XML	no	AJ430058	ncbi-curated	28172025	AJ430058	AJ430058.1	AJ430058	701	NULL	Bluetongue virus 2	IT-2001(57532-2)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AJ430059	ncbi-curated	28172027	AJ430059	AJ430059.1	AJ430059	701	NULL	Bluetongue virus 2	IT-2001(57618-2)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AJ430060	ncbi-curated	28172029	AJ430060	AJ430060.1	AJ430060	701	NULL	Bluetongue virus 2	IT-2001(57724-1)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AJ430061	ncbi-curated	28172031	AJ430061	AJ430061.1	AJ430061	701	NULL	Bluetongue virus 2	IT-2001(57724-2)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AJ430062	ncbi-curated	28172033	AJ430062	AJ430062.1	AJ430062	701	NULL	Bluetongue virus 2	IT-2001(57385-2)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Italy	2001	NULL	NULL	30/01/2003	30/01/2003	2	NULL	field	NULL	NULL	NULL	NULL
GENBANK_XML	no	AJ585111	ncbi-curated	118420282	AJ585111	AJ585111.1	AJ585111	2940	NULL	Bluetongue virus 1	IND1992/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	India	1992	MAR	3	27/11/2006	02/04/2012	1	NULL	field	Avikanagar-Rajasthan	blood	BHK?	Mammalian
GENBANK_XML	no	AJ585122	ncbi-curated	118420304	AJ585122	AJ585122.1	AJ585122	2940	NULL	Bluetongue virus 1	RSArrrr/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1958	NULL	NULL	27/11/2006	27/11/2006	1	NULL	reference	Biggarsberg-Vryheid-Natal	NULL	V?C6/36?KC?E2BHK9	Mammalian
GENBANK_XML	no	AJ585123	ncbi-curated	118420306	AJ585123	AJ585123.1	AJ585123	2943	NULL	Bluetongue virus 2	RSArrrr/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1959	NULL	NULL	27/11/2006	27/11/2006	2	NULL	reference	Ermelo-Transvaal	NULL	E2BHK7	Mammalian
