sequence_id	gb_primary_accession	gb_locus	gb_segment	gb_segment_corrected	gb_isolate	gb_isolate_corrected	gb_host	gb_host_corrected	gb_country	gb_country_corrected	gb_collection_year	gb_collection_year_corrected	gb_collection_month	gb_collection_month_corrected	gb_collection_month_day	gb_collection_month_day_corrected	gb_serotype	gb_serotype_corrected
AF397287	AF397287	AF397287	10		Pool B10				USA									
AF397288	AF397288	AF397288	10		Pool B6				USA									
AF397289	AF397289	AF397289	10		Pool B8				USA									
AF397290	AF397290	AF397290	10		Pool B7				USA									
AF397291	AF397291	AF397291	10		Pool C10				USA									
AF397292	AF397292	AF397292	10		Pool C11				USA									
AF397293	AF397293	AF397293	10		Pool D12				USA									
AF397294	AF397294	AF397294	10		Pool H4				USA									
AF397295	AF397295	AF397295	10		319		Ovis aries		USA									
AF403418	AF403418	AF403418	9														17	
AF403419	AF403419	AF403419	9														1	
AF403420	AF403420	AF403420	9															
AF403421	AF403421	AF403421	9														2	
AF403422	AF403422	AF403422	9															
AF403423	AF403423	AF403423	9															
AF469114	AF469114	AF469114							Tunisia								2	
AF469115	AF469115	AF469115															2	
AF481092	AF481092	AF481092			Corsican bluetongue virus serotype 2 (2000)												2	
AF481093	AF481093	AF481093			Corsican bluetongue virus serotype 2 (2001)												2	
AF481094	AF481094	AF481094							South Africa								2	
AF481095	AF481095	AF481095							South Africa								2	
AF481096	AF481096	AF481096							South Africa								2	
AF494094	AF494094	AF494094							Tunisia									
AF512905	AF512905	AF512905			G712/1999												4	
AF512906	AF512906	AF512906			G717/1999												3	
AF512907	AF512907	AF512907			P524/1999												4	
AF512908	AF512908	AF512908			79043/vaccine												4	
AF512909	AF512909	AF512909															4	
AF512910	AF512910	AF512910			5012/vaccine												1	
AF512911	AF512911	AF512911															1	
AF512912	AF512912	AF512912			S1/1999												1	
AF512913	AF512913	AF512913			S2/1999												2	
AF512914	AF512914	AF512914			B1/1999												18	
AF512915	AF512915	AF512915															18	
AF512916	AF512916	AF512916															2	
AF512917	AF512917	AF512917															3	
AF512918	AF512918	AF512918			8231/vaccine												3	
AF512919	AF512919	AF512919			8438/vaccine												8	
AF512920	AF512920	AF512920			Ramsen/1999												2	
AF512921	AF512921	AF512921			G704/1999												11	
AF512922	AF512922	AF512922			4575/vaccine												11	
AF512923	AF512923	AF512923															11	
AF512924	AF512924	AF512924															8	
AF529044	AF529044	AF529044	3		RIVS 46												1	
AF529045	AF529045	AF529045	3		RIVS 53												3	
AF529046	AF529046	AF529046	3		RIVS 60												21	
AF529047	AF529047	AF529047	3		RIVS 63												21	
AF529048	AF529048	AF529048	3		V4445												1	
AF529049	AF529049	AF529049	10		RIVS 46												1	
AF529050	AF529050	AF529050	10		RIVS 53												3	
AF529051	AF529051	AF529051	10		RIVS 39												23	
AF529052	AF529052	AF529052	10		V3036												1	
AF529053	AF529053	AF529053	10		V3209												21	
AF529054	AF529054	AF529054	10		V3548												21	
AF529055	AF529055	AF529055	10		V3598												20	
AF529056	AF529056	AF529056	10		V3692												20	
AF529057	AF529057	AF529057	10		V4014												1	
AF529058	AF529058	AF529058	10		Z462												21	
AF529059	AF529059	AF529059	10		RIVS 60												23	
AF530066	AF530066	AF530066							South Africa								2	
AF530067	AF530067	AF530067															16	
AJ277802	AJ277802	AJ277802			Dehradoon		Ovis aries										23	
AJ430057	AJ430057	AJ430057			IT-2001	IT-2001(57532-1)	Bos taurus		Italy									
AJ430058	AJ430058	AJ430058			IT-2001	IT-2001(57532-2)	Bos taurus		Italy									
AJ430059	AJ430059	AJ430059			IT-2001	IT-2001(57618-2)	Bos taurus		Italy									
AJ430060	AJ430060	AJ430060			IT-2001	IT-2001(57724-1)	Bos taurus		Italy									
AJ430061	AJ430061	AJ430061			IT-2001	IT-2001(57724-2)	Bos taurus		Italy									
AJ430062	AJ430062	AJ430062			IT-2001	IT-2001(57385-2)	Bos taurus		Italy									
AJ585111	AJ585111	AJ585111			India A	IND1992/01											1	
AJ585122	AJ585122	AJ585122			South Africa-ref	RSArrrr/01											1	
AJ585123	AJ585123	AJ585123			South Africa-ref	RSArrrr/02											2	
AJ585124	AJ585124	AJ585124			South Africa-ref	RSArrrr/03											3	
AJ585125	AJ585125	AJ585125			South Africa-ref	RSArrrr/04											4	
AJ585126	AJ585126	AJ585126			South Africa-ref	RSArrrr/05											5	
AJ585127	AJ585127	AJ585127			South Africa-ref	RSArrrr/06											6	
AJ585128	AJ585128	AJ585128			South Africa-ref	RSArrrr/07											7	
AJ585129	AJ585129	AJ585129			South Africa-ref	RSArrrr/08											8	
AJ585130	AJ585130	AJ585130			South Africa-ref	RSArrrr/09											9	
AJ585131	AJ585131	AJ585131			South Africa-ref	RSArrrr/10											10	
AJ585132	AJ585132	AJ585132			South Africa-ref	RSArrrr/11											11	
AJ585133	AJ585133	AJ585133			South Africa-ref	RSArrrr/12											12	
AJ585134	AJ585134	AJ585134			South Africa-ref	RSArrrr/13											13	
AJ585135	AJ585135	AJ585135			South Africa-ref	RSArrrr/14											14	
AJ585136	AJ585136	AJ585136			South Africa-ref	RSArrrr/15											15	
AJ585137	AJ585137	AJ585137			South Africa-ref	RSArrrr/16											16	
AJ585138	AJ585138	AJ585138			South Africa-ref	RSArrrr/17											17	
AJ585139	AJ585139	AJ585139			South Africa-ref	RSArrrr/18											18	
AJ585140	AJ585140	AJ585140			South Africa-ref	RSArrrr/19											19	
AJ585141	AJ585141	AJ585141			South Africa-ref	RSArrrr/20											20	
AJ585142	AJ585142	AJ585142			South Africa-ref	RSArrrr/21											21	
AJ585143	AJ585143	AJ585143			South Africa-ref	RSArrrr/22											22	
AJ585144	AJ585144	AJ585144			South Africa-ref	RSArrrr/23											23	
AJ585145	AJ585145	AJ585145			South Africa-ref	RSArrrr/24											24	
AJ585150	AJ585150	AJ585150			Nigeria	NIG1982/10											16	
AJ585179	AJ585179	AJ585179			Zimbabwe	ZIM2002/01											3	
AJ585181	AJ585181	AJ585181			Cameroon	CAR1982/02											5	
AJ585182	AJ585182	AJ585182			Nigeria	NIG1982/03											5	
AJ585183	AJ585183	AJ585183			Kenya	KEN????/01											8	
AJ585184	AJ585184	AJ585184			Nigeria	NIG1982/07											8	
AJ585185	AJ585185	AJ585185			Kenya	KEN????/02											8	
AJ585186	AJ585186	AJ585186			Cameroon	CAR1982/04											14	
AJ585187	AJ585187	AJ585187			Nigeria	NIG1982/11											22	
AJ585188	AJ585188	AJ585188			Indonesia	ISA1991/02											23	
AJ585189	AJ585189	AJ585189			India	IND1997/01											23	
AJ586656	AJ586656	AJ586656	6		RSAvvvv/01				South Africa								1	
AJ586657	AJ586657	AJ586657	6		NIG1982/01				Nigeria								1	
AJ586658	AJ586658	AJ586658	6		SUD1987/01				Sudan								1	
AJ586659	AJ586659	AJ586659	6		IND1992/01				India								1	
AJ586660	AJ586660	AJ586660	6		IND1992/02				India								1	
AJ586661	AJ586661	AJ586661	6		IND1988/01				India								1	
AJ586662	AJ586662	AJ586662	6		IND1999/01				India								1	
AJ586663	AJ586663	AJ586663	6		IND2001/01				India								1	
AJ586664	AJ586664	AJ586664	6		GRE2001/01				Greece								1	
AJ586665	AJ586665	AJ586665	6		RSAvvvv/02				South Africa								2	
AJ586666	AJ586666	AJ586666	6		SUD1985/01				Sudan								2	
AJ586667	AJ586667	AJ586667	6		NIG1982/02				Nigeria								2	
AJ586668	AJ586668	AJ586668	6		TUN2000/01				Tunisia								2	
AJ586669	AJ586669	AJ586669	6		ITL2002/05				Italy								2	
AJ586670	AJ586670	AJ586670	6		ITL2002/06				Italy								2	
AJ586671	AJ586671	AJ586671	6		ITL2002/07				Italy								2	
AJ586672	AJ586672	AJ586672	6		SAD2001/01				Italy								2	
AJ586673	AJ586673	AJ586673	6		SAD2001/02				Italy								2	
AJ586674	AJ586674	AJ586674	6		FRA2001/03				France								2	
AJ586675	AJ586675	AJ586675	6		IND1982/01				India								2	
AJ586676	AJ586676	AJ586676	6		RSAvvv3/04				South Africa								4	
AJ586677	AJ586677	AJ586677	6		SUD1983/01				Sudan								4	
AJ586678	AJ586678	AJ586678	6		CYP1969/01				Cyprus								4	
AJ586679	AJ586679	AJ586679	6		TUR1978/01				Turkey								4	
AJ586680	AJ586680	AJ586680	6		TURvvvv/04				Turkey								4	
AJ586681	AJ586681	AJ586681	6		GRE2000/01				Greece								4	
AJ586682	AJ586682	AJ586682	6		ARG2002/01				Argentina								4	
AJ586683	AJ586683	AJ586683	6		RSAvvv2/09				South Africa								9	
AJ586684	AJ586684	AJ586684	6		TUR2000/03				Turkey								9	
AJ586685	AJ586685	AJ586685	6		TUR2000/04				Turkey								9	
AJ586686	AJ586686	AJ586686	6		TUR2000/05				Turkey								9	
AJ586687	AJ586687	AJ586687	6		BOS2002/02				Bosnia and Herzegovina								9	
AJ586688	AJ586688	AJ586688	6		SER2001/01				Serbia and Montenegro								9	
AJ586689	AJ586689	AJ586689	6		RSAvvvv/16				South Africa								16	
AJ586690	AJ586690	AJ586690	6		ISA1991/01				Indonesia								16	
AJ586691	AJ586691	AJ586691	6		TUR2000/01				Turkey								16	
AJ586692	AJ586692	AJ586692	6		TUR2000/02				Turkey								16	
AJ586693	AJ586693	AJ586693	6		TUR2000/10				Turkey								16	
AJ586694	AJ586694	AJ586694	6		NIG1982/10				Nigeria								16	
AJ586695	AJ586695	AJ586695	6		RSArrrr/01				South Africa								1	
AJ586696	AJ586696	AJ586696	6		RSArrrr/02				South Africa								2	
AJ586697	AJ586697	AJ586697	6		RSArrrr/03				South Africa								3	
AJ586698	AJ586698	AJ586698	6		ZIM2002/01				Zimbabwe								3	
AJ586699	AJ586699	AJ586699	6		RSArrrr/04				South Africa								4	
AJ586700	AJ586700	AJ586700	6		RSArrrr/05				South Africa								5	
AJ586701	AJ586701	AJ586701	6		CAR1982/02				Cameroon								5	
AJ586702	AJ586702	AJ586702	6		NIG1982/03				Nigeria								5	
AJ586703	AJ586703	AJ586703	6		RSArrrr/06				South Africa								6	
AJ586704	AJ586704	AJ586704	6		RSArrrr/07				South Africa								7	
AJ586705	AJ586705	AJ586705	6		RSArrrr/08				South Africa								8	
AJ586706	AJ586706	AJ586706	6		NIG1982/07				Nigeria								8	
AJ586707	AJ586707	AJ586707	6		KEN????/01				Kenya								8	
AJ586708	AJ586708	AJ586708	6		RSArrrr/09				South Africa								9	
AJ586709	AJ586709	AJ586709	6		RSArrrr/10				South Africa								10	
AJ586710	AJ586710	AJ586710	6		RSArrrr/11				South Africa								11	
AJ586711	AJ586711	AJ586711	6		RSArrrr/12				South Africa								12	
AJ586712	AJ586712	AJ586712	6		KEN????/??				Kenya								12	
AJ586713	AJ586713	AJ586713	6		RSArrrr/13				South Africa								13	
AJ586714	AJ586714	AJ586714	6		RSArrrr/14				South Africa								14	
AJ586715	AJ586715	AJ586715	6		CAR1982/04				Cameroon								14	
AJ586716	AJ586716	AJ586716	6		RSArrrr/15				South Africa								15	
AJ586717	AJ586717	AJ586717	6		ZIM2003/08				Zimbabwe								15	
AJ586718	AJ586718	AJ586718	6		ZIM2003/09				Zimbabwe								15	
AJ586719	AJ586719	AJ586719	6		RSArrrr/16				South Africa								16	
AJ586720	AJ586720	AJ586720	6		RSArrrr/17				South Africa								17	
AJ586721	AJ586721	AJ586721	6		RSArrrr/18				South Africa								18	
AJ586722	AJ586722	AJ586722	6		RSArrrr/19				South Africa								19	
AJ586723	AJ586723	AJ586723	6		RSArrrr/20				South Africa								20	
AJ586724	AJ586724	AJ586724	6		RSArrrr/21				South Africa								21	
AJ586725	AJ586725	AJ586725	6		RSArrrr/22				South Africa								22	
AJ586726	AJ586726	AJ586726	6		NIG1982/11				Nigeria								22	
AJ586727	AJ586727	AJ586727	6		RSArrrr/23				South Africa								23	
AJ586728	AJ586728	AJ586728	6		IND1997/01				India								23	
AJ586729	AJ586729	AJ586729	6		ISA1991/02				Indonesia								23	
AJ586730	AJ586730	AJ586730	6		RSArrrr/24				South Africa								24	
AJ631214	AJ631214	AJ631214	6				Ovis aries		Australia								1	
AJ631215	AJ631215	AJ631215	6				Ovis aries		Italy								9	
AJ631216	AJ631216	AJ631216	6				Ovis aries		India								23	
AJ631217	AJ631217	AJ631217	6				Ovis aries		India								23	
AJ783902	AJ783902	AJ783902	6		IAH IND2003/04	IND2003/04	Ovis aries		India								1	
AJ783903	AJ783903	AJ783903	6		IAH IND2003/05	IND2003/05	Ovis aries		India								1	
AJ783904	AJ783904	AJ783904	6		IAH IND2003/01	IND2003/01	Ovis aries		India								2	
AJ783905	AJ783905	AJ783905	6		IAH IND2003/02	IND2003/02	Ovis aries		India								2	
AJ783906	AJ783906	AJ783906	6		IAH IND2003/03	IND2003/03	Ovis aries		India								2	
AJ783907	AJ783907	AJ783907	6		IAH IND1988/03	IND1988/03	Ovis aries		India								23	
AJ783908	AJ783908	AJ783908	6		IAH SPA2003/01	SPA2003/01	Ovis aries		Spain								4	
AJ783909	AJ783909	AJ783909	6		IAH SPA2003/02	SPA2003/02	Ovis aries		Spain								4	
AJ783910	AJ783910	AJ783910	10		IAH SPA2003/01	SPA2003/01	Ovis aries		Spain								4	
AJ783911	AJ783911	AJ783911	10		IAH SPA2003/02	SPA2003/02	Ovis aries		Spain								4	
AM261975	AM261975	AM261975			N-15 Hyd													
AM261976	AM261976	AM261976			Avikanagar													
AM261977	AM261977	AM261977			Sirsa S1													
AM261978	AM261978	AM261978			Sirsa S3													
AM261979	AM261979	AM261979			IVRI-3													
AM261980	AM261980	AM261980			IVRI-a													
AM261981	AM261981	AM261981			KOL-2													
AM498051	AM498051	AM498051	1				Ovis aries		Netherlands		2006							
AM498052	AM498052	AM498052	2				Ovis aries		Netherlands		2006							
AM498053	AM498053	AM498053	3				Ovis aries		Netherlands		2006							
AM498054	AM498054	AM498054	4				Ovis aries		Netherlands		2006							
AM498055	AM498055	AM498055	5				Ovis aries		Netherlands		2006							
AM498056	AM498056	AM498056	6				Ovis aries		Netherlands		2006							
AM498057	AM498057	AM498057	7				Ovis aries		Netherlands		2006							
AM498058	AM498058	AM498058	8				Ovis aries		Netherlands		2006							
AM498059	AM498059	AM498059	9				Ovis aries		Netherlands		2006							
AM498060	AM498060	AM498060	10				Ovis aries		Netherlands		2006							
AM773683	AM773683	AM773683	5						South Africa								2	
AM773684	AM773684	AM773684	5						South Africa								2	
AM773685	AM773685	AM773685	5						Spain								2	
AM773686	AM773686	AM773686	5						France								2	
AM773687	AM773687	AM773687	5						Italy								2	
AM773688	AM773688	AM773688	5						Italy								2	
AM773689	AM773689	AM773689	5						Tunisia								2	
AM773690	AM773690	AM773690	5						Italy								2	
AM773691	AM773691	AM773691	5						South Africa								16	
AM773692	AM773692	AM773692	5						Italy								16	
AM773693	AM773693	AM773693	5						Italy								16	
AM773694	AM773694	AM773694	5						Greece								16	
AM773695	AM773695	AM773695	5						Israel								16	
AM773696	AM773696	AM773696	5						Turkey								16	
AM773697	AM773697	AM773697	2						Spain								2	
AM773698	AM773698	AM773698	2						Italy								2	
AM773699	AM773699	AM773699	2						Italy								16	
AM773700	AM773700	AM773700	2						Italy								16	
AM773701	AM773701	AM773701	2						Israel								16	
AM773702	AM773702	AM773702	2						Greece								16	
AM773703	AM773703	AM773703			BTV-16/Gre1999/13(S-6)	GRE1999/13												
AM773704	AM773704	AM773704			BTV-16/ISR2001/18(S-6)	ISR2001/18												
AM773705	AM773705	AM773705			BTV-2/RSArrrr/02-(S-5)	RSArrrr/02												
AM773706	AM773706	AM773706			BTV-2/SAD2001/02-(S-5)	SAD2001/02												
AM773707	AM773707	AM773707			BTV-16/RSArrrr/16-(S-5)	RSArrrr/16												
AM773708	AM773708	AM773708	2		BTV-2/ITL2002/01(S-2)	ITL2002/01												
AM773709	AM773709	AM773709	2		BTV-16/Gree1999/13(S-2)	GRE1999/13												
AM773710	AM773710	AM773710	2		BTV-16/ISR01/18(S-2)	ISR2001/18												
AM778437	AM778437	AM778437	5		South Africa Vaccine	RSAvvvv/01											1	
AM778438	AM778438	AM778438	5		Greece 2001	GRE2001/07											1	
AM778439	AM778439	AM778439	5		South Africa Vaccine	RSAvvvv/04											4	
AM778440	AM778440	AM778440	5		Greece 1999	GRE1999/15											4	
AM778441	AM778441	AM778441	5		Spain 2005	SPA2005/05											4	
AM778442	AM778442	AM778442	5		South Africa Vaccine	RSAvvvv/09											9	
AM778443	AM778443	AM778443	5		Bosnia 2002	BOS2002/01											9	
AM778444	AM778444	AM778444	5		Bulgaria 1999	BUL1999/01											9	
AM778445	AM778445	AM778445	5		Turkey 2000	TUR2000/03											9	
AM900372	AM900372	AM900372	8						Greece		2000	1999						
AM900373	AM900373	AM900373	8						Turkey		1978							
AM900374	AM900374	AM900374	8						South Africa		1942							
AM900375	AM900375	AM900375	8						South Africa		1970	1942						
AM900376	AM900376	AM900376	8						Turkey		2000							
AM900377	AM900377	AM900377	8						Bosnia and Herzegovina		2002							
AM900378	AM900378	AM900378	8						South Africa		1953							
AM900379	AM900379	AM900379	8						South Africa		1960							
AM900380	AM900380	AM900380	8						South Africa		1975							
AM900381	AM900381	AM900381	8						India		1997							
AM900382	AM900382	AM900382	8						India		1982							
AM900383	AM900383	AM900383	8						Sudan		2006	1987						
AM900384	AM900384	AM900384	8						South Africa		1958							
AM900385	AM900385	AM900385	8						India		2005							
AM900386	AM900386	AM900386	8						India		2004							
AM900387	AM900387	AM900387	8						India		2004							
AM900388	AM900388	AM900388	8						India		2005							
AM900389	AM900389	AM900389	8								2006							
AM900390	AM900390	AM900390	8						Australia		1979							
AY028210	AY028210	AY028210	10														10	
AY028211	AY028211	AY028211	2															
AY079124	AY079124	AY079124															2	
AY120938	AY120938	AY120938	10		GA05				South Africa									
AY124371	AY124371	AY124371															2	
AY124372	AY124372	AY124372															2	
AY124373	AY124373	AY124373															2	
AY129083	AY129083	AY129083							France								2	
AY129084	AY129084	AY129084															2	
AY129085	AY129085	AY129085							France								2	
AY134477	AY134477	AY134477							South Africa									
AY137387	AY137387	AY137387															2	
AY138895	AY138895	AY138895							South Africa								2	
AY138896	AY138896	AY138896							South Africa								2	
AY154458	AY154458	AY154458															2	
AY189951	AY189951	AY189951	6						Italy									
AY263377	AY263377	AY263377	7						Brazil								12	
AY273207	AY273207	AY273207	10				Ovis aries		Italy								2	
AY277928	AY277928	AY277928	3		RIVS 39												23	
AY277929	AY277929	AY277929	3		Z462												21	
AY277930	AY277930	AY277930	3		V3548												21	
AY277931	AY277931	AY277931	3		V3209												21	
AY277932	AY277932	AY277932	3		V3692												20	
AY277933	AY277933	AY277933	3		V3598												20	
AY277934	AY277934	AY277934	3		V4014												1	
AY277935	AY277935	AY277935	3		V3036												1	
AY322427	AY322427	AY322427	3		DPP192												15	
AY322428	AY322428	AY322428	3		CS156												1	
AY359960	AY359960	AY359960	10						India								18	
AY359961	AY359961	AY359961	10						India								1	
AY366301	AY366301	AY366301			Tirunelveli													
AY366302	AY366302	AY366302			Chennai													
AY366303	AY366303	AY366303			Sirugramam													
AY376324	AY376324	AY376324			India												1	
AY383038	AY383038	AY383038			TN				India								23	
AY383039	AY383039	AY383039			UP				India								23	
AY386682	AY386682	AY386682																
AY426595	AY426595	AY426595	10		BT12-JAM2016				Jamaica								12	
AY426596	AY426596	AY426596	10		BT17-283				Puerto Rico								17	
AY426597	AY426597	AY426597	10		BT17-298				Puerto Rico								17	
AY426598	AY426598	AY426598	10		BT1-2172				Honduras								1	
AY426599	AY426599	AY426599	10		BT3-2058				Costa Rica								3	
AY426600	AY426600	AY426600	10		BT3-2230				Guatemala								3	
AY426601	AY426601	AY426601	10		BT3-2165				Trinidad and Tobago								3	
AY426602	AY426602	AY426602	10		BT4-2227				Dominican Republic								4	
AY426603	AY426603	AY426603	10		BT6-2187				Honduras								6	
AY426604	AY426604	AY426604	10		BT8-2215				Dominican Republic								8	
AY438033	AY438033	AY438033	10				Culicoides sp.		Italy								2	
AY438034	AY438034	AY438034	10						Italy								9	
AY449650	AY449650	AY449650	10		GR79LS				Greece								4	
AY449651	AY449651	AY449651	10		GR408/99ChS				Greece								9	
AY449652	AY449652	AY449652	10		GR308/99RS				Greece								16	
AY449653	AY449653	AY449653	10		GR395/99LS				Greece								4	
AY449654	AY449654	AY449654	10		GR692/99EvS				Greece								4	
AY449655	AY449655	AY449655	10		GR457/99PS				Greece								4	
AY449656	AY449656	AY449656	10		GR631/99MaS				Greece								4	
AY449657	AY449657	AY449657	10		GR15/01/Gre				Greece								1	
AY462225	AY462225	AY462225																
AY485667	AY485667	AY485667															3	
AY485668	AY485668	AY485668															3	
AY485669	AY485669	AY485669															3	
AY493684	AY493684	AY493684							Taiwan									
AY493685	AY493685	AY493685							Taiwan									
AY493686	AY493686	AY493686							Taiwan									
AY493687	AY493687	AY493687							Taiwan									
AY493688	AY493688	AY493688							Taiwan									
AY493689	AY493689	AY493689							Taiwan									
AY493690	AY493690	AY493690							Taiwan									
AY493691	AY493691	AY493691							Taiwan									
AY493692	AY493692	AY493692							Taiwan									
AY559058	AY559058	AY559058	2		Avikanagar		Ovis aries		India								1	
AY559060	AY559060	AY559060	2		Sirsa 3		Ovis aries		India								1	
AY559061	AY559061	AY559061	2		Chennai		Ovis aries		India								1	
AY606206	AY606206	AY606206			Bangalore				India								18	
AY636071	AY636071	AY636071															17	
AY636072	AY636072	AY636072															17	
AY636073	AY636073	AY636073															17	
AY636074	AY636074	AY636074															17	
AY636075	AY636075	AY636075															17	
AY636076	AY636076	AY636076															17	
AY636077	AY636077	AY636077															17	
AY636078	AY636078	AY636078															17	
AY643505	AY643505	AY643505	2		Dehradun		Ovis aries		India								23	
AY643506	AY643506	AY643506	2		Rahuri		Ovis aries		India								23	
AY643507	AY643507	AY643507	2		Banglore		Ovis aries		India								18	
AY643508	AY643508	AY643508	5	6	Dehradun		Ovis aries		India								23	
AY643509	AY643509	AY643509	5	6	Rahuri		Ovis aries		India								23	
AY643510	AY643510	AY643510	5	6	Banglore		Ovis aries		India								18	
AY643511	AY643511	AY643511	7		Rahuri		Ovis aries		India								23	
AY643512	AY643512	AY643512	7		Banglore		Ovis aries		India								18	
AY677620	AY677620	AY677620	10		GR378/99CB				Greece								4	
AY677621	AY677621	AY677621	10		GR279/99RoS				Greece								4	
AY677622	AY677622	AY677622	10		GR228/99EG				Greece								4	
AY677623	AY677623	AY677623	10		GR180/99RS				Greece								4	
AY677624	AY677624	AY677624	10		GR382/99LS				Greece								4	
AY677626	AY677626	AY677626	10		GR413/99LS				Greece								4	
AY677627	AY677627	AY677627	10		GR610/99EvS				Greece								4	
AY677628	AY677628	AY677628	10		GR1472/01LS				Greece								1	
AY677629	AY677629	AY677629	10		GR199/98RS				Greece								9	
AY691691	AY691691	AY691691	10		GR280/99RoS				Greece								4	
AY691692	AY691692	AY691692	10		GR1217/00ArS				Greece								4	
AY741396	AY741396	AY741396	6	5	SPA2000				Spain								2	
AY741397	AY741397	AY741397	6	5	SPA2003				Spain								4	
AY775152	AY775152	AY775152	10						South Africa								2	
AY775153	AY775153	AY775153	10				Culicoides sp.		Italy								2	
AY775154	AY775154	AY775154	10				Culicoides sp.		Italy								2	
AY775155	AY775155	AY775155	10						Italy								4	
AY775156	AY775156	AY775156	10				Culicoides sp.		Italy								4	
AY775157	AY775157	AY775157	10						Israel								4	
AY775158	AY775158	AY775158	10						Israel								4	
AY775159	AY775159	AY775159	10						Greece								4	
AY775160	AY775160	AY775160	10						South Africa								4	
AY775161	AY775161	AY775161	10						Italy								9	
AY775162	AY775162	AY775162	10						Italy								16	
AY775163	AY775163	AY775163	10						Israel								16	
AY775164	AY775164	AY775164	10						South Africa								16	
AY776331	AY776331	AY776331	7						South Africa								1	
AY789967	AY789967	AY789967			Hisar				India								1	
AY823220	AY823220	AY823220	10						Italy		2000						2	
AY823221	AY823221	AY823221	10						Italy		2001						2	
AY823222	AY823222	AY823222	10						Italy								2	
AY823223	AY823223	AY823223	10						Greece								9	
AY823224	AY823224	AY823224	10						South Africa								9	
AY839945	AY839945	AY839945	2		Corsica				France								4	
AY839946	AY839946	AY839946	2		2000				Greece								4	
AY839947	AY839947	AY839947	2		1999				Greece								4	
AY839948	AY839948	AY839948	2						South Africa								4	
AY839949	AY839949	AY839949	7		Corsica				France								4	
AY841351	AY841351	AY841351	7		2000				Greece								4	
AY841352	AY841352	AY841352	7		1999				Greece								4	
AY841353	AY841353	AY841353	7						South Africa								4	
AY855264	AY855264	AY855264			557 SA				South Africa								2	
AY855265	AY855265	AY855265			OnaA				USA								2	
AY855266	AY855266	AY855266			OnaB				USA								2	
AY855267	AY855267	AY855267			FL99 13406-2				USA								2	
AY855268	AY855268	AY855268			FL99 22364-8				USA								13	
AY855269	AY855269	AY855269			FL99 12475				USA								17	
AY855270	AY855270	AY855270			557 SA				South Africa								2	
AY855271	AY855271	AY855271			OnaA				USA								2	
AY855272	AY855272	AY855272			OnaB				USA								2	
AY855273	AY855273	AY855273			FL99 13406-2				USA								2	
AY855274	AY855274	AY855274			FL99 22364-8				USA								13	
AY855275	AY855275	AY855275			FL99 12475				USA								17	
AY855276	AY855276	AY855276			557 SA				South Africa								2	
AY855277	AY855277	AY855277			OnaA				USA								2	
AY855278	AY855278	AY855278			OnaB				USA								2	
AY855279	AY855279	AY855279			FL99 13406-2				USA								2	
AY855280	AY855280	AY855280			FL99 22364-8				USA								13	
AY855281	AY855281	AY855281			FL99 12475				USA								17	
AY855282	AY855282	AY855282			FL99 13406-2				USA								2	
AY855283	AY855283	AY855283			FL99 22364-8				USA								13	
AY855284	AY855284	AY855284			FL99 12475				USA								17	
AY855285	AY855285	AY855285			557 SA				South Africa								2	
AY855286	AY855286	AY855286			OnaA				USA								2	
AY855287	AY855287	AY855287			OnaB				USA								2	
AY855288	AY855288	AY855288			FL99 13406-2				USA								2	
AY855289	AY855289	AY855289			FL99 22364-8				USA								13	
AY855290	AY855290	AY855290			FL99 12475				USA								17	
AY857499	AY857499	AY857499	8		Corsica				France								4	
AY857500	AY857500	AY857500	8		1999				Greece								4	
AY857501	AY857501	AY857501	8		2000				Greece								4	
AY857502	AY857502	AY857502	8						South Africa								4	
AY857503	AY857503	AY857503	10		Corsica				France								4	
AY857504	AY857504	AY857504	10		1999				Greece								4	
AY857505	AY857505	AY857505	10		2000				Greece								4	
AY857506	AY857506	AY857506	10						South Africa								4	
D00153	D00153	BTVL2C															13	
D00253	D00253	BTV1NS3	10														1	
D00500	D00500	BTVS8NS2	8														10	
D00509	D00509	BTVS9VP6	9														10	
D10905	D10905	BTVVP6	9		South Africa												1	
D12532	D12532	BTVVP5	5	6													10	
DQ017956	DQ017956	DQ017956	5						Italy								2	
DQ017957	DQ017957	DQ017957	5						South Africa								4	
DQ017958	DQ017958	DQ017958	5						Italy								4	
DQ017959	DQ017959	DQ017959	5						Italy								9	
DQ017960	DQ017960	DQ017960	5						Italy								16	
DQ017961	DQ017961	DQ017961	5						South Africa								16	
DQ017962	DQ017962	DQ017962	5						South Africa								9	
DQ080910	DQ080910	DQ080910			BT17-198												17	
DQ080911	DQ080911	DQ080911			BT17-199												17	
DQ080912	DQ080912	DQ080912			BT17-283												17	
DQ080913	DQ080913	DQ080913			BT17-299												17	
DQ080914	DQ080914	DQ080914			BT17-300												17	
DQ080915	DQ080915	DQ080915			BT17-ATCC												17	
DQ098092	DQ098092	DQ098092	5		MAR2004				Morocco		2004						4	
DQ098093	DQ098093	DQ098093	5		SPA2004				Spain		2004						4	
DQ098094	DQ098094	DQ098094	5		ITL2002				Italy		2004						16	
DQ098095	DQ098095	DQ098095	5						South Africa								4	
DQ098096	DQ098096	DQ098096	5		ASOT				Cyprus								4	
DQ098097	DQ098097	DQ098097	5						South Africa								7	
DQ098098	DQ098098	DQ098098	5						South Africa								10	
DQ098099	DQ098099	DQ098099	5						South Africa								13	
