sequence_id	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	pmid_reference	alt_reference	alt_reference_url
AY857502	vaccine					17280733		
AY857503	field	Corsica				17280733		
AY857504	field					17280733		
AY857505	field					17280733		
AY857506	vaccine					17280733		
D00153						2824673		
D00253						2833571		
D00500						2544660		
D00509						2544660		
D10905						1331303		
D12532						3009695		
DQ017956	field	Sardinia	spleen					
DQ017957	vaccine							
DQ017958	field	Sardinia	blood					
DQ017959	field	Calabria	blood					
DQ017960	field	Puglia	blood					
DQ017961	vaccine							
DQ017962	vaccine							
DQ080910						17852347		
DQ080911						17852347		
DQ080912						17852347		
DQ080913						17852347		
DQ080914						17852347		
DQ080915						17852347		
DQ098092						16566253		
DQ098093						16566253		
DQ098094		Puglia				16566253		
DQ098095	vaccine					16566253		
DQ098096	reference					16566253		
DQ098097	reference					16566253		
DQ098098	reference					16566253		
DQ098099	reference					16566253		
DQ098100	reference					16566253		
DQ098101	reference					16566253		
DQ098102	reference					16566253		
DQ186790	field	Northen Territories	blood	E1BHK4	Mammalian	19649272		
DQ186791	field	Northen Territories	blood	BHK2V1BHK1	Mammalian	19649272		
DQ186792	reference	Biggarsberg-Vryheid-Natal		V?C6/36?KC?E2BHK9	Mammalian	19649272		
DQ186793	reference	Ermelo-Transvaal		E2BHK7	Mammalian	19649272		
DQ186794	reference	Cyprus		BHK9	Mammalian	19649272		
DQ186795	reference	Pretoria-Transvaal		E3BHK8	Mammalian	19649272		
DQ186796	reference	Hazara-West Pakistan		E2BHK9	Mammalian	19649272		
DQ186797	field			E1BHK5	Mammalian	19649272		
DQ186798	field	Ammochostos-Achna	blood	VIBHK4	Mammalian	19649272		
DQ186799	field	Ammochostos	spleen	CPAE1BHK6	Mammalian	19649272		
DQ186800	field	Rhodes	blood	E1BHK5	Mammalian	19649272		
DQ186801	field	Magnesia	blood	E2BHK9	Mammalian	19649272		
DQ186802	field	Doriskos-Feres-Evros	blood	E1BHK6	Mammalian	19649272		
DQ186803	field	Chios	blood	E2BHK8	Mammalian	19649272		
DQ186804	field	Kalloni-Lesvos	spleen	E2BHK2	Mammalian	19649272		
DQ186805	field	Ierissos-Chalkidiki	blood	E2BHK6	Mammalian	19649272		
DQ186806	field	Arta	blood	E2BHK5	Mammalian	19649272		
DQ186807	field	Agiasos-Achladeri-Lesvos	blood	BHK2E1BHK2	Mammalian	19649272		
DQ186808	field	Afandou-Rhodes	blood	E2BHK10	Mammalian	19649272		
DQ186809	field	Kerasia-Kechros-Sapes-Rodopi	spleen	E2BHK14	Mammalian	19649272		
DQ186810	field	Bangalore	blood and spleen	BHK21	Mammalian	19649272		
DQ186811	field	Chennai	Culicoides sp	BHK9	Mammalian	19649272		
DQ186812	field			E1ASL1BHK6	Mammalian	19649272		
DQ186813	field	Bat Slomo		E2BHK2	Mammalian	19649272		
DQ186814	field	Yokneam		E1BHK4	Mammalian	19649272		
DQ186815	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian	19649272		
DQ186816	field	Kuala Lumpur		E1BHK5	Mammalian	19649272		
DQ186817	field	El Kebir	blood	E1BHK4	Mammalian	19649272		
DQ186818	field			E1BHK4	Mammalian	19649272		
DQ186819	field			E1BHK5	Mammalian	19649272		
DQ186820	field	Smiksi-Grevena	spleen	BHK10	Mammalian	19649272		
DQ186821	field	Damatria-Rhodes	blood	E2BHK11	Mammalian	19649272		
DQ186822	field	Oraioastro-Delvinaki-Ioannina	spleen	E1BHK11	Mammalian	19649272		
DQ186823	field	Madamados-Lesvos	spleen	E2BHK9	Mammalian	19649272		
DQ186824	field	Menorca	blood	E1BHK4	Mammalian	19649272		
DQ186825	field	Shambat	blood	E1BHK2	Mammalian	19649272		
DQ186826	field			E1BHK5	Mammalian	19649272		
DQ186827	field	Seferihisar-Izmir		E3BHK9	Mammalian	19649272		
DQ186828	field	Lone Oak	Culicoides imicola	E1BHK3	Mammalian	19649272		
DQ191259	field	Belt Dagan	blood	E?V?	Mammalian	16283915		
DQ191260	field	Puglia		E?V?	Mammalian	16283915		
DQ191261	field	Castiadas-Sardinia	blood	E?V?	Mammalian	16283915		
DQ191262	field	Giardinello-Sicily	blood	E?V?	Mammalian	16283915		
DQ191263	field	Careri-Calabria	spleen	E?V?	Mammalian	16283915		
DQ191264	field	Aprilia-Lazio	blood	E?V?	Mammalian	16283915		
DQ191265	field	Seui-Sardinia	bone marrow	E?V?	Mammalian	16283915		
DQ191266	field	Magliano-Tuscany	blood	E?V?	Mammalian	16283915		
DQ191267	field	Urzulei-Sardinia	spleen	E?V?	Mammalian	16283915		
DQ191268	field	Cerveter-Lazio	blood	E?V?	Mammalian	16283915		
DQ191269	field	Montalto di Castro-Lazio	blood	E?V?	Mammalian	16283915		
DQ191270	field	Messina-Sicily	blood	E?V?	Mammalian	16283915		
DQ191271	field	Messina-Sicily	blood	E?V?	Mammalian	16283915		
DQ191272	field	Castiadas-Sardinia	lymph-node	E?V?	Mammalian	16283915		
DQ191273	field	Oristano-Sardinia	spleen	E?V?	Mammalian	16283915		
DQ191274	field	S.Gregorio Magno-Campania	Culicoides sp	E?V?	Mammalian	16283915		
DQ191275	field	Carpino-Puglia	Culicoides sp	E?V?	Mammalian	16283915		
DQ191276	field	Sellia Marina-Calabria	spleen	E?V?	Mammalian	16283915		
DQ191277	field	Rhodes		E?V?	Mammalian	16283915		
DQ191278	field	Hatzav	blood	E?V?	Mammalian	16283915		
DQ191279	field	Nahala		E?V?	Mammalian	16283915		
DQ191280	field	Sardinia	blood	E?V?	Mammalian	16283915		
DQ191281	field	Villa S. Pietro-Sardinia	Culicoides imicola 	E?V?	Mammalian	16283915		
DQ191282	field	Bianco-Calabria	spleen	E?V?	Mammalian	16283915		
DQ191283	field	Rhodes		E?V?	Mammalian	16283915		
DQ191284	field	Noepoli-Calabria	blood	E?V?	Mammalian	16283915		
DQ191285	field	Petrona-Calabria	blood	E?V?	Mammalian	16283915		
DQ289041	field							
DQ289042	field							
DQ289043	field							
DQ289044	field	Beatrice Hill-Coastal Plains Research Station-Northern Territories	blood	BHK10BSR1	Mammalian			
DQ289045	field							
DQ289046	field							
DQ289047	field							
DQ289048	field							
DQ289049	field		blood					
DQ289050	field		blood					
DQ372599	field							
DQ372600	field							
DQ399834	field	Nalgonda						
DQ399835	field	Nalgonda						
DQ399836	field	Mehaboobnagar						
DQ399837	field	Chittoor						
DQ418907	field	Nalgonda						
DQ418908	field	Nalgonda						
DQ465026	reference	Utrecht-Natal		E1BHK9	Mammalian	17241676		
DQ465027	reference	Ermelo-Onderstepoort		E1LK6BHK6	Mammalian	17241676		
DQ465028	reference			E3BHK7	Mammalian	17241676		
DQ641923	field	Tirupati		BHK?	Mammalian	18649903		
DQ825668	field	Corsica		E?BHK?	Mammalian	17280733		
DQ825669	field			E?BHK?	Mammalian	17280733		
DQ825670	field	Manisa		E?BHK?	Mammalian	17280733		
DQ825671	field	Manisa		E?BHK?	Mammalian	17280733		
DQ825672	field	Manisa		E?BHK?	Mammalian	17280733		
DQ825673	field	Manisa		E?BHK?	Mammalian	17280733		
DQ832170	vaccine			E?BHK?	Mammalian			
DQ848152	field							
DQ872902	field	Mehaboobnagar-Andhra Pradesh						
EF059720	field	Agiasos-Achladeri-Lesvos	spleen	BHK5	Mammalian	17586061		
EF059721	field			E1BHK4	Mammalian	17586061		
EF059722	field	Corrientes-Santo Tome	blood	?E2V2BHK2	Mammalian	17586061		
EF059723	field		blood	E1BHK2	Mammalian	17586061		
EF059724	field			E1BHK6	Mammalian	17586061		
EF059725	reference	Vryheid-Natal		E3BHK5	Mammalian	17586061		
EF059726	reference	Utrecht-Natal		E1BHK9	Mammalian	17586061		
EF059727	reference	Onderstepoort		E2BHK7	Mammalian	17586061		
EF059728	vaccine	Transvaal		E70BHK2P1BHK3P7BHK6	Mammalian	17586061		
EF059729	field		blood	E1BHK1	Mammalian	17586061		
EF059730	field	Lone Oak	Culicoides imicola	E1BHK3	Mammalian	17586061		
EF059731	field			E2BHK3	Mammalian	17586061		
EF059732	field	Tural Stud	Culicoides imicola	E1BHK2	Mammalian	17586061		
EF059733	reference	Hazara-West Pakistan		E2BHK9	Mammalian	17586061		
EF059734	vaccine	Hazara-West Pakistan		E37P3BHK2V1BHK1	Mammalian	17586061		
EF059735	reference			E1BHK7	Mammalian	17586061		
EF059736	reference			E3BHK7	Mammalian	17586061		
EF059737	reference	Beatrice Hill-Northen Territories-Australia	Culicoides sp	BHK12	Mammalian	17586061		
EF059738	reference	Victoria River Research Station-Northen Territories-Australia	blood	V3BHK14	Mammalian	17586061		
EF059739	field			E1BHK5	Mammalian	17586061		
EF059740	field	Uttranchal-Rishikesh	blood and spleen	BHK55	Mammalian	17586061		
EF059741	reference			E1CER4BHK6	Mammalian	17586061		
EF174159	field	Pingtung	blood	E?BHK2	Mammalian	17586061		
EF434175	field	Grandola	blood	E2V?BHK?	Mammalian	17521832		
EF434176	field	Alandroal	spleen	E2V?BHK?	Mammalian	17521832		
EF434177	field	Grandola	blood	E2V?BHK?	Mammalian	17521832		
EF434178	field	Alandroal	spleen	E2V?BHK?	Mammalian	17521832		
EF434179	field	Grandola	blood	E2V?BHK?	Mammalian	17521832		
EF434180	field	Alandroal	spleen	E2V?BHK?	Mammalian	17521832		
EF533882	field							
EF533883	field							
EF533884	field							
EF540909	field	Georgia		CPAE3	Mammalian	17719118		
EF540910	field	Missouri		CPAE3	Mammalian	17719118		
EF540911	field	Wyoming		CPAE3	Mammalian	17719118		
EF540912	field	North Carolina		CPAE3	Mammalian	17719118		
EF540913	field	North Carolina		CPAE3	Mammalian	17719118		
EF540914	field	Kansas		CPAE3	Mammalian	17719118		
EF540915	field	Virginia		CPAE3	Mammalian	17719118		
EF540916	field	Georgia		CPAE3	Mammalian	17719118		
EF540917	field	North Carolina		CPAE3	Mammalian	17719118		
EF540918	field	Kansas		CPAE3	Mammalian	17719118		
EF540919	field	Texas		CPAE3	Mammalian	17719118		
EF540920	field	Idaho		CPAE3	Mammalian	17719118		
EF540921	field	Idaho		CPAE3	Mammalian	17719118		
EF540922	field	Idaho		CPAE3	Mammalian	17719118		
EF540923	field	Idaho		CPAE3	Mammalian	17719118		
EF540924	field	Idaho		CPAE3	Mammalian	17719118		
EF540925	field	Idaho		CPAE3	Mammalian	17719118		
EF540926	field	Idaho		CPAE3	Mammalian	17719118		
EF540927	field	Idaho		CPAE3	Mammalian	17719118		
EF540928	field	Washington		CPAE3	Mammalian	17719118		
EF540929	field	Idaho		CPAE3	Mammalian	17719118		
EF540930	field	Idaho		CPAE3	Mammalian	17719118		
EF540931	field	Idaho		CPAE3	Mammalian	17719118		
EF540932	field	Idaho		CPAE3	Mammalian	17719118		
EF540933	field	Texas		CPAE3	Mammalian	17719118		
EF540934	field		blood	E?BHK1	Mammalian	17719118		
EF540935	field		blood	E?BHK1	Mammalian	17719118		
EF540936	field		blood	E?BHK1	Mammalian	17719118		
EF554838	field		blood	E?BHK?	Mammalian	19428746		
EF554839	field		blood	E?BHK?	Mammalian	19428746		
EF554840	field		blood	E?BHK?	Mammalian	19428746		
EF554841	field		blood	E?BHK?	Mammalian	19428746		
EF554842	field		spleen	E?BHK?	Mammalian	19428746		
EF554843	field		blood	E?BHK?	Mammalian	19428746		
EF554844	field		blood	E?BHK?	Mammalian	19428746		
EF554845	field		spleen	E?BHK?	Mammalian	19428746		
EF554846	field		blood	E?BHK?	Mammalian	19428746		
EF554847	field		blood	E?BHK?	Mammalian	19428746		
EF554848	field		blood	E?BHK?	Mammalian	19428746		
EF554849	field		spleen	E?BHK?	Mammalian	19428746		
EF554850	field		blood	E?BHK?	Mammalian	19428746		
EF554851	field		blood	E?BHK?	Mammalian	19428746		
EF554852	field		blood	E?BHK?	Mammalian	19428746		
EF554853	field		blood	E?BHK?	Mammalian	19428746		
EF554854	field		blood	E?BHK?	Mammalian	19428746		
EF554855	field		aborted fetus	E?BHK?	Mammalian	19428746		
EF554856	field		spleen	E?BHK?	Mammalian	19428746		
EF554857	field		blood	E?BHK?	Mammalian	19428746		
EF554858	field		blood	E?BHK?	Mammalian	19428746		
EU131022	field	Dehradun		BHK55	Mammalian	19744235		
EU131023	field	Avikanagar-Rajasthan		BHK5	Mammalian	19744235		
EU131024	field	Bangalore-Karnataka		BHK14	Mammalian	19744235		
EU131025	field	Madras-Chennai-Tamil Nadu		BHK11	Mammalian	19744235		
EU131026	field	Srinagar-Jammu and Kasmir		BHK8	Mammalian	19744235		
EU131027	field	Rahuri-Maharashtra		BHK6	Mammalian	19744235		
EU220289	field	Agiasos-Achladeri-Lesvos	spleen	BHK5	Mammalian	18570969		
EU220290	field		blood	?BHK3	Mammalian	18570969		
EU220291	field		blood	BHK?E2V2BHK2	Mammalian	18570969		
EU220292	vaccine			?BHK2	Mammalian	18570969		
EU220293	field	Hyderabad	blood	?BHK3	Mammalian	18570969		
EU220294	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian	18570969		
EU220295	vaccine	Transvaal		E70BHK2P1BHK3P7BHK6	Mammalian	18570969		
EU220296	field	Seferihisar-Izmir		E3BHK9	Mammalian	18570969		
EU220297	field			?BHK3	Mammalian	18570969		
EU422952	field	Berrouaghia-Media	spleen	E1BHK2	Mammalian	18570969		
EU422953	field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian	18570969		
EU427465	field	Andhra Pradesh	blood	BHK?	Mammalian			
EU427466	field	Andhra Pradesh	blood	BHK?	Mammalian			
EU443927	field	Hisar-Haryana						
EU443928	field	Avikanagar-Rajasthan						
EU443929	field	Sirsa-Haryana						
EU450660	field		blood					
EU450661	field		blood					
EU450662	field		blood					
EU450663	reference							
EU498674	field	Barrancos	blood					
EU498675	field	Barrancos	blood					
EU498676	field	Barrancos	blood					
EU625361	field	Berrouaghia-Media	spleen	E1BHK2	Mammalian	18570969		
EU625362	field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian	18570969		
EU839840	field	Toggenburg	blood			19046507		
EU839841	field	Toggenburg	blood			19046507		
EU839842	field	Toggenburg	blood			19046507		
EU839843	field	Toggenburg	blood			19046507		
EU839844	field	Toggenburg	blood			19046507		
EU839845	field	Toggenburg	blood			19046507		
EU839846	field	Toggenburg	blood			19046507		
EU880280								
EU880281								
EU880282								
EU880283								
EU880284								
EU880286								
EU880287								
EU880288								
EU880289								
EU880290								
EU880291								
EU880292								
FJ004985		Tamil Nadu						
FJ004986		Tamil Nadu	blood					
FJ004987		Tamil Nadu						
FJ183374	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183375	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183376	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183377	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183378	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183379	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183380	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183381	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183382	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ183383	field			KC1BHK3	Culicoides-Mammalian	19264638		
FJ437557	field		blood			21074232		
FJ437558	field		blood			21074232		
FJ437559	field		blood			21074232		
FJ437560	field		blood			21074232		
FJ437561	field		blood			21074232		
FJ437562	field	Boualem	blood			21074232		
FJ437563	field	Boualem	blood			21074232		
FJ440679	field	Boualem	blood			21074232		
FJ713316	reference	Onderstepoort				19901276		
FJ713317	reference	Onderstepoort				19901276		
FJ713318	reference	Onderstepoort				19901276		
FJ713319	reference	Onderstepoort				19901276		
FJ713320	reference	Onderstepoort				19901276		
FJ713321	reference	Onderstepoort				19901276		
FJ713322	reference	Onderstepoort				19901276		
FJ713323	reference	Onderstepoort				19901276		
FJ713324	reference	Onderstepoort				19901276		
FJ713325	reference	Onderstepoort				19901276		
FJ713326	reference	Onderstepoort				19901276		
FJ713327	reference	Onderstepoort				19901276		
FJ713328	reference	Onderstepoort				19901276		
FJ713329	reference	Onderstepoort				19901276		
FJ713330	reference	Onderstepoort				19901276		
FJ713331	reference	Onderstepoort				19901276		
FJ713332	reference	Onderstepoort				19901276		
FJ713333	reference	Onderstepoort				19901276		
FJ713334	reference	Onderstepoort				19901276		
FJ713335	reference	Onderstepoort				19901276		
FJ713336	reference	Onderstepoort				19901276		
FJ713337	reference	Onderstepoort				19901276		
FJ713338	reference	Onderstepoort				19901276		
FJ713339	reference	Onderstepoort				19901276		
FJ713340	reference	Onderstepoort				19901276		
FJ713341	reference	Onderstepoort				19901276		
FJ713342	reference	Onderstepoort				19901276		
FJ713343	reference	Onderstepoort				19901276		
FJ713344	reference	Onderstepoort				19901276		
FJ713345	reference	Onderstepoort				19901276		
FJ713346	reference	Onderstepoort				19901276		
FJ713347	reference	Onderstepoort				19901276		
FJ713348	reference	Onderstepoort				19901276		
FJ713349	reference	Onderstepoort				19901276		
FJ713350	reference	Onderstepoort				19901276		
FJ713351	reference	Onderstepoort				19901276		
FJ713352	reference	Onderstepoort				19901276		
FJ713353	reference	Onderstepoort				19901276		
FJ713354	reference	Onderstepoort				19901276		
FJ713355	reference	Onderstepoort				19901276		
FJ745372	field	Azerbaijan	blood					
FJ745373	field	Khuzestan	blood					
FJ947066								
FJ969719	RG Recovered			BSR?	Mammalian	18562540		
FJ969720	RG Recovered			BSR?	Mammalian	18562540		
FJ969721	RG Recovered			BSR?	Mammalian	18562540		
FJ969722	RG Recovered			BSR?	Mammalian	18562540		
FJ969723	RG Recovered			BSR?	Mammalian	18562540		
FJ969724	RG Recovered			BSR?	Mammalian	18562540		
FJ969725	RG Recovered			BSR?	Mammalian	18562540		
FJ969726	RG Recovered			BSR?	Mammalian	18562540		
FJ969727	RG Recovered			BSR?	Mammalian	18562540		
FJ969728	RG Recovered			BSR?	Mammalian	18562540		
FM179950	field	Sardinia	blood	?BHK2	Mammalian			
FM179951	field	Sardinia	blood	?BHK2	Mammalian			
GQ233041				BHK?	Mammalian			
GQ506450	field	Agiasos-Achladeri-Lesvos	spleen	BHK3	Mammalian	20428242		
GQ506451	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506452	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506453	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506454	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506455	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506456	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506457	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506458	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506459	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506460	field	Bavel-Noord Brabant	blood	E1BHK2	Mammalian	20428242		
GQ506461	experiment		blood			20428242		
GQ506462	experiment		blood			20428242		
GQ506463	experiment		blood			20428242		
GQ506464	experiment		blood			20428242		
GQ506465	experiment		blood			20428242		
GQ506466	experiment		blood			20428242		
GQ506467	experiment		blood			20428242		
GQ506468	field	Heeten	blood	KC1	Culicoides	20428242		
GQ506469	field	Heeten	blood	KC1	Culicoides	20428242		
GQ506470	field	Heeten	blood	KC1	Culicoides	20428242		
GQ506471	field	Heeten	blood	KC1	Culicoides	20428242		
GQ506472	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506473	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506474	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506475	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506476	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506477	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506478	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506479	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506480	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506481	field	Heeten	blood	KC1BHK1	Culicoides-Mammalian	20428242		
GQ506482	field	Heeten	blood			20428242		
GQ506483	field	Heeten	blood			20428242		
GQ506484	field	Heeten	blood			20428242		
GQ506485	field	Heeten	blood			20428242		
GQ506486	field	Heeten	blood			20428242		
GQ506487	field	Heeten	blood			20428242		
GQ506488	field	Underberg	Culicoides sp			20428242		
GQ506489	field	Underberg	Culicoides sp			20428242		
GQ506490	field	Underberg	Culicoides sp			20428242		
GQ506491	field	Underberg	Culicoides sp			20428242		
GQ506492	field	Underberg	Culicoides sp			20428242		
GQ506493	field	Underberg	Culicoides sp			20428242		
GQ506494	field	Underberg	Culicoides sp			20428242		
GQ506495	field	Underberg	Culicoides sp			20428242		
GQ506496	field	Underberg	Culicoides sp			20428242		
GQ506497	field	Underberg	Culicoides sp			20428242		
GQ506498	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506499	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506500	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506501	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506502	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506503	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506504	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506505	reference	Vryheid-Natal		E3BHK5	Mammalian	20428242		
GQ506506	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506507	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506508	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506509	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506510	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506511	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506512	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506513	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506514	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506515	vaccine	Natal		E60PP3BHK7	Mammalian	20428242		
GQ506516	field	NULL	spleen			20428242		
GQ506517	field	NULL	spleen			20428242		
GQ506518	field	NULL	spleen			20428242		
GQ506519	field	NULL	spleen			20428242		
GQ506520	field	NULL	spleen			20428242		
GQ506521	field	NULL	spleen			20428242		
GQ506522	field	NULL	spleen			20428242		
GQ506523	field	NULL	spleen			20428242		
GQ506524	field	NULL	spleen			20428242		
GQ506525	field	NULL	spleen			20428242		
GQ506526	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506527	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506528	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506529	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506530	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506531	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506532	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506533	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506534	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506535	vaccine	Natal		E60BHK7	Mammalian	20428242		
GQ506536	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506537	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506538	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506539	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506540	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506541	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506542	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506543	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506544	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ506545	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian	20428242		
GQ982522	field	Toggenburg	blood			19046507		
GQ982523	field	Toggenburg	blood			19046507		
GQ982524	field	Toggenburg	blood			19046507		
GU213110	field	Andhra Pradesh						
GU390658	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390659	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390660	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390661	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390662	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390663	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390664	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU390665	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU550956	field	Heeten	blood	KC1	Culicoides	20428242		
GU550957	field	Heeten	blood			20428242		
GU784864	field	Pingtung	blood	E?BHK2	Mammalian	20855174		
GU931314	field	Prakasam-Andhra Pradesh		BHK?	Mammalian			
GU931315	field	Krishna-Andhra Pradesh		BHK?	Mammalian			
GU931316	field			BHK?	Mammalian			
GU931317	field			BHK?	Mammalian			
GU931318	field	Nalgonda-Andhra Pradesh		BHK?	Mammalian			
GU954425	field	California	blood	BHK?	Mammalian	20557494		
GU954426	field	California	blood	BHK?	Mammalian	20557494		
GU954427	field	California	colostrum	BHK?	Mammalian	20557494		
HM014236	field	Mathura-Uttar Pradesh	blood	BHK?	Mammalian	20842392		
HM590642	field	Abdali	blood	E1BHK2	Mammalian	21529403		
HM590643	field	Abdali	blood	E1BHK2	Mammalian	21529403		
HM590644	field	Abdali	blood	E1BHK2	Mammalian	21529403		
HQ222818	field	Martinique	blood					
HQ222819	field	Martinique	blood					
HQ222820	field	Martinique	blood					
HQ222821	field	Martinique	blood					
HQ222822	field	Martinique	blood					
HQ222823	field	Martinique	blood					
HQ222824	field	Martinique	blood					
HQ222825	field	Guadeloupe	blood					
HQ241072	field	Guadeloupe	blood					
HQ397596	field	Beatrice Hill-Coastal Plains Research Station-Northern Territories	blood	BHK1PPV3BHK3V4BHK2BSR1	Mammalian	21450948		
HQ397597	field	Beatrice Hill-Coastal Plains Research Station-Northern Territories	blood	BHK10BSR1	Mammalian	21450948		
HQ397598	field	Beatrice Hill-Coastal Plains Research Station-Northern Territories	blood	E2SV2BSR1	Mammalian	21450948		
HQ397599	field					21450948		
HQ397600	field					21450948		
HQ397601	field					21450948		
HQ397602	field	Beatrice Hill-Coastal Plains Research Station-Northern Territories	blood	E1S2E1BHK4	Mammalian	21450948		
HQ397603	field					21450948		
HQ397604	field					21450948		
HQ397605	field					21450948		
HQ397606	field					21450948		
HQ397607	field					21450948		
HQ397673	field		mosquitoes			21450948		
HQ719213	field					26318174		
J04365				BHK?	Mammalian	2549709		
JF303890	field		blood	BHK?	Mammalian			
JF343006	Contaminant					21557978		
JF423934	field							
JF423935	field							
JF423936	field							
JF423937	field							
JF423938	field							
JF443155	field	Khamman-Andhra Pradesh		E3BHK?	Mammalian	22258368		
JF443156	field	Mahaboobnagar-Andhra Pradesh		E3BHK?	Mammalian	22258368		
JF443157	field	Warangal-Andhra Pradesh		E3BHK?	Mammalian	22258368		
JF443158	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian	22258368		
JF443159	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian	22258368		
JF443160	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian	22258368		
JF443161	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian	22258368		
JF443162	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian	22258368		
