sequence_id	gb_primary_accession	gb_accession_version	gb_locus	gb_length	gb_lab_construct	gb_organism	gb_segment	gb_isolate	gb_taxonomy	gb_host	gb_country	gb_collection_year	gb_collection_month	gb_collection_month	gb_collection_month_day	gb_create_date	gb_update_date	gb_serotype	gb_topotype	excluded
HV930238	HV930238	HV930238.1	HV930238	38	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930239	HV930239	HV930239.1	HV930239	20	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930240	HV930240	HV930240.1	HV930240	53	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930241	HV930241	HV930241.1	HV930241	38	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930242	HV930242	HV930242.1	HV930242	50	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930243	HV930243	HV930243.1	HV930243	23	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930244	HV930244	HV930244.1	HV930244	23	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930245	HV930245	HV930245.1	HV930245	13	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930246	HV930246	HV930246.1	HV930246	30	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930247	HV930247	HV930247.1	HV930247	30	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930248	HV930248	HV930248.1	HV930248	31	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930249	HV930249	HV930249.1	HV930249	31	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
HV930250	HV930250	HV930250.1	HV930250	28	1	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	NULL	NULL	NULL	NULL	NULL	15/11/12	15/11/12	NULL	NULL	TRUE
M21355	M21355	M21355.1	BTVVP2V	57	NULL	Bluetongue virus	NULL	NULL	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Australia	NULL	NULL	NULL	NULL	02/08/93	03/05/04	1	NULL	TRUE
