taxon	country	serotype	host	year	accession	accession_country_serotype
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255933	ZAF	2	Ovis aries	-	JN255933	JN255933/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255943	ZAF	4	Ovis aries	1900	JN255943	JN255943/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255953	ZAF	9	Ovis aries	1942	JN255953	JN255953/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255963	ZAF	9	Ovis aries	1942	JN255963	JN255963/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN558348	IND	1	Culicoides sp.	2007	JN558348	JN558348/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN558349	IND	1	Culicoides sp.	2007	JN558349	JN558349/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN572917	IND	16	Ovis aries	2008	JN572917	JN572917/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN579710	IND	9	Ovis aries	2006	JN579710	JN579710/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN613126	IND	21	Ovis aries	2006	JN613126	JN613126/IND/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN635334	GRC	1	Ovis aries	2001	JN635334	JN635334/GRC/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN671907	CHN	16	Ovis aries	1996	JN671907	JN671907/CHN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN704634	IND	10	Ovis aries	2004	JN704634	JN704634/IND/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN848760	CHN	1	Ovis aries	1997	JN848760	JN848760/CHN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN881986	AUS	1	Bos taurus	1979	JN881986	JN881986/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086222	AUS	15	Bos taurus	1982	JQ086222	JQ086222/AUS/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086232	AUS	16	Bos taurus	1987	JQ086232	JQ086232/AUS/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086242	AUS	2	Bos taurus	2008	JQ086242	JQ086242/AUS/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086252	AUS	20	Culicoides sp.	1977	JQ086252	JQ086252/AUS/20
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086262	AUS	21	Bos taurus	1979	JQ086262	JQ086262/AUS/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086272	AUS	23	Bos taurus	1982	JQ086272	JQ086272/AUS/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086282	AUS	3	Bos taurus	1986	JQ086282	JQ086282/AUS/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086292	AUS	7	Bos taurus	2007	JQ086292	JQ086292/AUS/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ086302	AUS	9	Bos taurus	1985	JQ086302	JQ086302/AUS/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ240322	AUS	2	Bos taurus	2010	JQ240322	JQ240322/AUS/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ414046	IND	9	Ovis aries	2005	JQ414046	JQ414046/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436729	MTQ	13	Bos taurus	2010	JQ436729	JQ436729/MTQ/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436730	MTQ	3	Bos taurus	2010	JQ436730	JQ436730/MTQ/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436733	GUF	17	Bos taurus	2011	JQ436733	JQ436733/GUF/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436734	GUF	13	Bos taurus	2011	JQ436734	JQ436734/GUF/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436735	GUF	10	Bos taurus	2011	JQ436735	JQ436735/GUF/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ436736	GUF	1	Bos taurus	2011	JQ436736	JQ436736/GUF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ681258	IND	2	Ovis aries	2003	JQ681258	JQ681258/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ740772	IND	10	-	2004	JQ740772	JQ740772/IND/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ771814	IND	3	-	2003	JQ771814	JQ771814/IND/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ771824	IND	23	Ovis aries	1988	JQ771824	JQ771824/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ822249	USA	2	Bos taurus	2010	JQ822249	JQ822249/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ904072	IND	2	Ovis aries	2008	JQ904072	JQ904072/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ924821	IND	16	Capra hircus	2010	JQ924821	JQ924821/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ972832	ZAF	11	Bos taurus	2010	JQ972832	JQ972832/ZAF/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ972842	ZAF	11	Bos taurus	2010	JQ972842	JQ972842/ZAF/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ972852	DEU	11	Bos taurus	2010	JQ972852	JQ972852/DEU/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JQ972862	MTQ	11	Bos taurus	2010	JQ972862	JQ972862/MTQ/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX003688	IND	9	Ovis aries	2007	JX003688	JX003688/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX007924	IND	16	Bos taurus	2010	JX007924	JX007924/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX024940	ARG	4	Bos taurus	1999	JX024940	JX024940/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX024945	ARG	4	Bos taurus	1999	JX024945	JX024945/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX024950	ARG	4	Bos taurus	1999	JX024950	JX024950/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX024955	ARG	4	Bos taurus	2009	JX024955	JX024955/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX024960	ARG	4	Bos taurus	2010	JX024960	JX024960/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX101694	IND	1	Capra hircus	2007	JX101694	JX101694/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX101695	IND	1	Capra hircus	2007	JX101695	JX101695/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272370	ZAF	24	-	-	JX272370	JX272370/ZAF/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272380	ZAF	1	-	-	JX272380	JX272380/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272390	ZAF	22	-	-	JX272390	JX272390/ZAF/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272400	ZAF	23	-	-	JX272400	JX272400/ZAF/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272410	ZAF	21	-	-	JX272410	JX272410/ZAF/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272420	ZAF	20	-	-	JX272420	JX272420/ZAF/20
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272430	ZAF	19	-	-	JX272430	JX272430/ZAF/19
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272440	ZAF	18	-	-	JX272440	JX272440/ZAF/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272450	ZAF	17	-	-	JX272450	JX272450/ZAF/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272460	ZAF	16	-	-	JX272460	JX272460/ZAF/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272470	ZAF	15	-	-	JX272470	JX272470/ZAF/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272480	ZAF	14	-	-	JX272480	JX272480/ZAF/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272490	ZAF	13	-	-	JX272490	JX272490/ZAF/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272500	ZAF	12	-	-	JX272500	JX272500/ZAF/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272510	ZAF	11	-	-	JX272510	JX272510/ZAF/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272520	ZAF	10	-	-	JX272520	JX272520/ZAF/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272530	ZAF	9	-	-	JX272530	JX272530/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272540	ZAF	8	-	-	JX272540	JX272540/ZAF/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272550	ZAF	7	-	-	JX272550	JX272550/ZAF/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272560	ZAF	6	-	-	JX272560	JX272560/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272570	ZAF	5	-	-	JX272570	JX272570/ZAF/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272580	ZAF	4	-	-	JX272580	JX272580/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272590	ZAF	3	-	-	JX272590	JX272590/ZAF/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX272600	ZAF	2	-	-	JX272600	JX272600/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX399149	IND	1	Ovis aries	2008	JX399149	JX399149/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX560414	CHN	4	Bos taurus	1997	JX560414	JX560414/CHN/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX680448	NLD	8	-	-	JX680448	JX680448/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX680458	ZAF	1	-	-	JX680458	JX680458/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX861489	FRA	1	Ovis aries	2007	JX861489	JX861489/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX861499	FRA	1	Bos taurus	2008	JX861499	JX861499/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/JX965385	GUF	6	Ovis aries	2012	JX965385	JX965385/GUF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC153300	KOR	1	-	2010	KC153300	KC153300/KOR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC633277	GUF	24	Bos taurus	2011	KC633277	KC633277/GUF/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC633278	GUF	12	Capra hircus	2011	KC633278	KC633278/GUF/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC633279	GUF	2	Bos taurus	2011	KC633279	KC633279/GUF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC662613	IND	12	Ovis aries	2011	KC662613	KC662613/IND/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751419	IND	16	Ovis aries	-	KC751419	KC751419/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751420	IND	1	Ovis aries	-	KC751420	KC751420/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751421	IND	1	Ovis aries	-	KC751421	KC751421/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751422	IND	2	Ovis aries	-	KC751422	KC751422/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751423	IND	16	Ovis aries	-	KC751423	KC751423/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751424	IND	16	Ovis aries	-	KC751424	KC751424/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC751425	IND	16	Ovis aries	-	KC751425	KC751425/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KC879616	CHN	1	Ovis aries	1979	KC879616	KC879616/CHN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF387522	ITA	16	Bos taurus	2002	KF387522	KF387522/ITA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF560418	IND	4	Ovis aries	2008	KF560418	KF560418/IND/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563929	IND	1	Ovis aries	1985	KF563929	KF563929/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563930	IND	1	Ovis aries	1994	KF563930	KF563930/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563931	IND	1	Ovis aries	1999	KF563931	KF563931/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563932	IND	1	Ovis aries	2003	KF563932	KF563932/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563933	IND	1	Ovis aries	2007	KF563933	KF563933/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563934	IND	1	Ovis aries	2007	KF563934	KF563934/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563935	IND	1	Ovis aries	2007	KF563935	KF563935/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563936	IND	1	Culicoides sp.	2007	KF563936	KF563936/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563937	IND	1	Culicoides sp.	2007	KF563937	KF563937/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563938	IND	1	Capra hircus	2007	KF563938	KF563938/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563939	IND	1	Capra hircus	2008	KF563939	KF563939/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563940	IND	1	Capra hircus	2008	KF563940	KF563940/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563941	IND	1	Capra hircus	2008	KF563941	KF563941/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563942	IND	1	Capra hircus	2008	KF563942	KF563942/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563943	IND	1	Capra hircus	2008	KF563943	KF563943/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563944	IND	1	Capra hircus	2008	KF563944	KF563944/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563945	IND	1	Ovis aries	2008	KF563945	KF563945/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF563946	IND	1	Capra hircus	2011	KF563946	KF563946/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF664104	IND	16	Ovis aries	2008	KF664104	KF664104/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF664114	IND	1	Culicoides sp.	2007	KF664114	KF664114/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF664124	IND	1	Ovis aries	2008	KF664124	KF664124/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF664134	IND	16	Capra hircus	2011	KF664134	KF664134/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF986495	USA	2	Bos taurus	2006	KF986495	KF986495/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF986499	USA	2	Bos taurus	2003	KF986499	KF986499/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KF986501	PAN	2	Bos taurus	1989	KF986501	KF986501/PAN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ019206	ITA	1	Ovis aries	2013	KJ019206	KJ019206/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ577095	ITA	1	Ovis aries	2012	KJ577095	KJ577095/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ577105	TUN	1	Ovis aries	2011	KJ577105	KJ577105/TUN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ577115	ITA	1	Ovis aries	2010	KJ577115	KJ577115/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ577125	ITA	1	Ovis aries	2013	KJ577125	KJ577125/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ661730	ITA	1	Ovis aries	2013	KJ661730	KJ661730/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ679573	IND	9	Ovis aries	2005	KJ679573	KJ679573/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ700442	ESP	4	Ovis aries	2003	KJ700442	KJ700442/ESP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ736002	ITA	1	Ovis aries	2006	KJ736002	KJ736002/ITA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KJ872780	FRA	8	-	2006	KJ872780	KJ872780/FRA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM053259	ITA	8	Ovis aries	2008	KM053259	KM053259/ITA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM053269	ITA	2	Ovis aries	2000	KM053269	KM053269/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099523	AUS	1	Bos taurus	1981	KM099523	KM099523/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099524	AUS	1	Bos taurus	1986	KM099524	KM099524/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099525	AUS	1	Bos taurus	1988	KM099525	KM099525/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099526	AUS	1	Bos taurus	1989	KM099526	KM099526/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099527	AUS	1	Bos taurus	1993	KM099527	KM099527/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099528	AUS	1	Bos taurus	1994	KM099528	KM099528/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099529	AUS	1	Bos taurus	1996	KM099529	KM099529/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099530	AUS	1	Bos taurus	1997	KM099530	KM099530/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099531	AUS	1	Bos taurus	1999	KM099531	KM099531/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099532	AUS	1	Bos taurus	1999	KM099532	KM099532/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099533	AUS	1	Bos taurus	2002	KM099533	KM099533/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099534	AUS	1	Bos taurus	2002	KM099534	KM099534/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099535	AUS	1	Bos taurus	2004	KM099535	KM099535/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099536	AUS	1	Bos taurus	2005	KM099536	KM099536/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099537	AUS	1	Bos taurus	2008	KM099537	KM099537/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099538	AUS	1	Bos taurus	2010	KM099538	KM099538/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM099539	AUS	1	Bos taurus	2010	KM099539	KM099539/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM200718	FRA	27	Capra hircus	2014	KM200718	KM200718/FRA/27
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM233615	ZAF	4	-	-	KM233615	KM233615/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580420	USA	11	Odocoileus virginianus	2011	KM580420	KM580420/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580426	USA	11	Odocoileus virginianus	2011	KM580426	KM580426/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580435	USA	11	Odocoileus virginianus	2011	KM580435	KM580435/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580450	USA	11	Odocoileus virginianus	2011	KM580450	KM580450/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580453	USA	11	Canis familiaris	2011	KM580453	KM580453/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580464	USA	11	Canis familiaris	2012	KM580464	KM580464/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580478	USA	11	Odocoileus virginianus	2013	KM580478	KM580478/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KM580491	USA	11	Lama glama	2013	KM580491	KM580491/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP196604	ZAF	-	Vicugna pacos	2008	KP196604	KP196604/ZAF/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP268775	IND	2	-	1994	KP268775	KP268775/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP268815	HUN	4	Bos taurus	2014	KP268815	KP268815/HUN/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306778	ISR	16	Bos taurus	2012	KP306778	KP306778/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306779	ISR	16	Bos taurus	2011	KP306779	KP306779/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306780	ISR	16	Ovis aries	2013	KP306780	KP306780/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306781	ISR	16	Bos taurus	2013	KP306781	KP306781/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306782	ISR	16	Capra hircus	2008	KP306782	KP306782/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP306785	ISR	16	Bos taurus	2008	KP306785	KP306785/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339135	IND	1	Ovis aries	2010	KP339135	KP339135/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339145	IND	1	Ovis aries	2010	KP339145	KP339145/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339155	IND	2	Ovis aries	1993	KP339155	KP339155/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339165	IND	2	Ovis aries	2010	KP339165	KP339165/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339175	IND	9	Ovis aries	2003	KP339175	KP339175/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339185	IND	9	Ovis aries	2003	KP339185	KP339185/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339195	IND	16	Ovis aries	2010	KP339195	KP339195/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339205	IND	16	Ovis aries	2010	KP339205	KP339205/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339215	IND	16	Ovis aries	2011	KP339215	KP339215/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339225	IND	16	Ovis aries	2010	KP339225	KP339225/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339235	IND	21	Ovis aries	2005	KP339235	KP339235/IND/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP339245	IND	10	Ovis aries	2003	KP339245	KP339245/IND/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696508	IND	1	-	1985	KP696508	KP696508/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696553	IND	1	Ovis aries	2003	KP696553	KP696553/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696563	IND	1	Ovis aries	2003	KP696563	KP696563/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696573	IND	1	-	2003	KP696573	KP696573/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696583	IND	2	Ovis aries	1993	KP696583	KP696583/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696593	IND	2	Ovis aries	2003	KP696593	KP696593/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696603	IND	2	Ovis aries	2003	KP696603	KP696603/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696613	IND	9	-	2004	KP696613	KP696613/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696623	IND	9	-	2004	KP696623	KP696623/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696633	IND	9	-	2005	KP696633	KP696633/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696642	IND	9	-	2005	KP696642	KP696642/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696652	IND	9	-	2005	KP696652	KP696652/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696671	IND	23	-	2004	KP696671	KP696671/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696681	IND	23	-	2004	KP696681	KP696681/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP696691	IND	23	-	2004	KP696691	KP696691/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP735614	IND	1	Bos taurus	2011	KP735614	KP735614/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820980	FRA	8	Bos taurus	2008	KP820980	KP820980/FRA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820981	FRA	8	Bos taurus	2008	KP820981	KP820981/FRA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820982	FRA	8	Bos taurus	2008	KP820982	KP820982/FRA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820983	ZAF	14	Ovis aries	1959	KP820983	KP820983/ZAF/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820984	ZAF	15	Ovis aries	1960	KP820984	KP820984/ZAF/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820985	CYP	16	Ovis aries	2004	KP820985	KP820985/CYP/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820986	CYP	16	Bos taurus	2006	KP820986	KP820986/CYP/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820987	CYP	16	Bos taurus	2010	KP820987	KP820987/CYP/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820988	FRA	16	Ovis aries	2004	KP820988	KP820988/FRA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820989	GRC	16	Ovis aries	1999	KP820989	KP820989/GRC/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820990	GRC	16	Ovis aries	2008	KP820990	KP820990/GRC/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820991	ISR	16	Ovis aries	2001	KP820991	KP820991/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820992	ISR	16	Capra hircus	2008	KP820992	KP820992/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820993	PAK	16	Ovis aries	1960	KP820993	KP820993/PAK/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820994	TUR	16	-	2000	KP820994	KP820994/TUR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820995	DZA	1	Ovis aries	2006	KP820995	KP820995/DZA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820996	DZA	1	Ovis aries	2006	KP820996	KP820996/DZA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820997	DZA	1	Ovis aries	2008	KP820997	KP820997/DZA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820998	CMR	1	Ovis aries	1982	KP820998	KP820998/CMR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP820999	FRA	1	Bos taurus	2008	KP820999	KP820999/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821000	FRA	1	Ovis aries	2008	KP821000	KP821000/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821001	FRA	1	Bos taurus	2008	KP821001	KP821001/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821002	FRA	1	Bos taurus	2008	KP821002	KP821002/FRA/1
